pfam_acc,pfam_name,n_anchor_in_dom
PF01750,Hydrogenase maturation protease,1
PF01565,FAD binding domain,1
PF01582,TIR domain,1
PF01416,tRNA pseudouridine synthase,1
PF01467,Cytidylyltransferase-like,1
PF01487,Type I 3-dehydroquinase,1
PF01501,Glycosyl transferase family 8,1
PF01351,Ribonuclease HII,1
PF01370,NAD dependent epimerase/dehydratase family,1
PF01008,Initiation factor 2 subunit family,1
PF01019,Gamma-glutamyltranspeptidase,1
PF01029,NusB family,1
PF01035,"6-O-methylguanine DNA methyltransferase, DNA binding domain",1
PF01037,Lrp/AsnC ligand binding domain,1
PF01522,Polysaccharide deacetylase,1
PF01557,Fumarylacetoacetate (FAA) hydrolase C-terminal,1
PF01558,Pyruvate ferredoxin/flavodoxin oxidoreductase,1
PF01155,"Hydrogenase/urease nickel incorporation, metallochaperone, hypA",1
PF01156,Inosine-uridine preferring nucleoside hydrolase,1
PF01039,Carboxyl transferase domain,1
PF01071,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",1
PF01083,Cutinase,1
PF01087,"Galactose-1-phosphate uridyl transferase, N-terminal domain",1
PF01095,Pectinesterase,1
PF00999,"Sodium/hydrogen exchanger, transmembrane",1
PF02277,Phosphoribosyltransferase,1
PF02298,Plastocyanin-like domain,1
PF02302,"PTS system, Lactose/Cellobiose specific IIB subunit",1
PF02310,B12 binding domain,1
PF02342,TerD domain,1
PF01996,F420-0:Gamma-glutamyl ligase,1
PF00883,"Cytosol aminopeptidase family, catalytic domain",1
PF00891,O-methyltransferase domain,1
PF01648,4'-phosphopantetheinyl transferase superfamily,1
PF01653,NAD-dependent DNA ligase adenylation domain,1
PF01656,CobQ/CobB/MinD/ParA nucleotide binding domain,1
PF01660,Viral methyltransferase,1
PF01592,NifU-like N terminal domain,1
PF01625,Peptide methionine sulfoxide reductase,1
PF01627,Hpt domain,1
PF02265,S1/P1 Nuclease,1
PF01678,Diaminopimelate epimerase,1
PF01715,IPP transferase,1
PF01725,Ham1 family,1
PF01730,UreF,1
PF01743,Poly A polymerase head domain,1
PF01633,Choline/ethanolamine kinase,1
PF01634,ATP phosphoribosyltransferase,1
PF01638,HxlR-like helix-turn-helix,1
PF01761,3-dehydroquinate synthase N-terminal,1
PF01795,MraW methylase family,1
PF01799,[2Fe-2S] binding domain,1
PF01804,Penicillin amidase,1
PF01807,CHC2 zinc finger,1
PF01668,SmpB protein,1
PF01674,Lipase (class 2),1
PF01676,Metalloenzyme superfamily,1
PF01923,Cobalamin adenosyltransferase,1
PF01928,CYTH domain,1
PF01936,NYN domain,1
PF01814,Hemerythrin HHE cation binding domain,1
PF01850,PIN domain,1
PF01852,START domain,1
PF01867,CRISPR associated protein Cas1,1
PF01869,BadF/BadG/BcrA/BcrD ATPase family,1
PF01108,Tissue factor,1
PF02016,LD-carboxypeptidase N-terminal domain,1
PF02086,D12 class N6 adenine-specific DNA methyltransferase,1
PF02130,Endoribonuclease YbeY,1
PF02136,Nuclear transport factor 2 (NTF2) domain,1
PF02152,Dihydroneopterin aldolase,1
PF01895,PhoU domain,1
PF01910,Thiamine-binding protein,1
PF00782,"Dual specificity phosphatase, catalytic domain",1
PF01183,Glycosyl hydrolases family 25,1
PF01210,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,1
PF01220,Dehydroquinase class II,1
PF01223,DNA/RNA non-specific endonuclease,1
PF01227,GTP cyclohydrolase I,1
PF01230,HIT domain,1
PF01242,6-pyruvoyl tetrahydropterin synthase,1
PF00905,Penicillin binding protein transpeptidase domain,1
PF00790,VHS domain,1
PF00797,N-acetyltransferase,1
PF00809,Pterin binding enzyme,1
PF00814,tRNA N6-adenosine threonylcarbamoyltransferase,1
PF00825,Ribonuclease P,1
PF00754,F5/8 type C domain,1
PF00773,RNB domain,1
PF02423,Ornithine cyclodeaminase/mu-crystallin family,1
PF02441,Flavoprotein,1
PF03069,Acetamidase/Formamidase family,1
PF03091,CutA1 divalent ion tolerance protein,1
PF03097,BRO1-like domain,1
PF03099,Biotin/lipoate A/B protein ligase family,1
PF03146,Agrin NtA domain,1
PF03167,Uracil DNA glycosylase superfamily,1
PF02475,TRM5/TYW2 methyltransferase domain,1
PF02481,DNA recombination-mediator protein A,1
PF02527,rRNA small subunit methyltransferase G,1
PF02348,Cytidylyltransferase,1
PF02358,Trehalose-phosphatase,1
PF02367,Threonylcarbamoyl adenosine biosynthesis protein TsaE,1
PF02374,Anion-transporting ATPase,1
PF02410,Ribosomal silencing factor during starvation,1
PF02542,YgbB family,1
PF02567,Phenazine biosynthesis-like protein,1
PF02570,Precorrin-8X methylmutase,1
PF02574,Homocysteine S-methyltransferase,1
PF02579,Dinitrogenase iron-molybdenum cofactor,1
PF02458,Transferase family,1
PF02463,RecF/RecN/SMC N terminal domain,1
PF02464,Competence-damaged protein,1
PF01871,AMMECR1,1
PF01894,UPF0047 protein YjbQ-like,1
PF02586,SOS response associated peptidase (SRAP),1
PF02589,LUD domain,1
PF02590,Predicted SPOUT methyltransferase,1
PF02615,Malate/L-lactate dehydrogenase,1
PF02627,Carboxymuconolactone decarboxylase family,1
PF02541,Ppx/GppA phosphatase family,1
PF00651,BTB/POZ domain,1
PF00664,ABC transporter transmembrane region,1
PF00668,Condensation domain,1
PF00676,Dehydrogenase E1 component,1
PF00682,HMGL-like,1
PF00687,Ribosomal protein L1p/L10e family,1
PF00590,Tetrapyrrole (Corrin/Porphyrin) Methylases,1
PF00595,PDZ domain,1
PF02678,Pirin,1
PF02737,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",1
PF02739,"5'-3' exonuclease, N-terminal resolvase-like domain",1
PF03816,LytR_cpsA_psr family,1
PF03819,MazG nucleotide pyrophosphohydrolase domain,1
PF03830,PTS system sorbose subfamily IIB component,1
PF03965,Penicillinase repressor,1
PF00643,B-box zinc finger,1
PF02743,Cache domain,1
PF02744,"Galactose-1-phosphate uridyl transferase, C-terminal domain",1
PF02784,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",1
PF02814,"UreE urease accessory protein, N-terminal domain",1
PF02823,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain",1
PF02657,Fe-S metabolism associated domain,1
PF02661,Fic/DOC family,1
PF02670,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1
PF03171,2OG-Fe(II) oxygenase superfamily,1
PF03309,Type III pantothenate kinase,1
PF02882,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",1
PF02900,Catalytic LigB subunit of aromatic ring-opening dioxygenase,1
PF02931,Neurotransmitter-gated ion-channel ligand binding domain,1
PF02955,"Prokaryotic glutathione synthetase, ATP-grasp domain",1
PF03009,Glycerophosphoryl diester phosphodiesterase family,1
PF02742,"Iron dependent repressor, metal binding and dimerisation domain",1
PF03403,"Platelet-activating factor acetylhydrolase, isoform II",1
PF03441,FAD binding domain of DNA photolyase,1
PF03443,Auxiliary Activity family 9 (formerly GH61),1
PF05638,"Type VI secretion system effector, Hcp",1
PF05683,Fumarase C-terminus,1
PF05685,Putative restriction endonuclease,1
PF05896,NqrA N-terminal barrel-sandwich hybrid domain,1
PF06108,Protein of unknown function (DUF952),1
PF03781,Sulfatase-modifying factor enzyme 1-like domain,1
PF03453,MoeA N-terminal region (domain I and II),1
PF03486,HI0933-like protein Rossmann domain,1
PF03572,Peptidase family S41,1
PF03575,Peptidase family S51,1
