protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1MJ5A,clean,v_only,4.0,"[238, 103, 127]",0.8772197961807251,0.9804831524377208,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,8.0,"[238, 103, 127]",0.3778930604457855,0.4173643419051604,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,10.0,"[238, 103, 127]",0.08062509447336197,0.08211855707563512,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,12.0,"[238, 103, 127]",0.013086696155369282,0.005951711192399392,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,14.0,"[238, 103, 127]",0.008884824812412262,0.0012130248307044569,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,16.0,"[238, 103, 127]",0.007879328913986683,7.907062037483682e-05,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,32.0,"[238, 103, 127]",0.006925922352820635,-0.000996139518108033,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1NOXA,clean,clean_baseline,nan,"[141, 142, 184]",0.6426877975463867,1.0,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,corrupt,corrupt_baseline,nan,"[184, 176, 190]",0.013175503350794315,0.0,0.20551797747612,0.2066769152879715,0.09366636723279953,6.935421943664551,0.9031108686786216
1NOXA,clean,corrupt_head_patch,nan,"[141, 142, 184]",0.6228010654449463,0.9684093030671431,0.20551797747612,0.1014314666390419,0.09366636723279953,6.935421943664551,0.9031108686786216
1NOXA,clean,ln_all,0.0,"[141, 142, 184]",0.6426877975463867,1.0,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,ln_all,0.5,"[141, 142, 184]",0.6412478089332581,0.9977125329776622,0.0991373360157013,0.03194030374288559,0.03580492362380028,7.289909362792969,0.9492712095526407
1NOXA,clean,ln_all,1.0,"[141, 142, 184]",0.6419450640678406,0.9988201446017901,0.10208962857723236,0.0052867792546749115,0.03710261359810829,7.286861419677734,0.9488743150915911
1NOXA,clean,ln_all,2.0,"[141, 142, 184]",0.6422115564346313,0.9992434760748177,0.10322170704603195,0.00017847068374976516,0.0377625934779644,7.267221450805664,0.9463168543497714
1NOXA,clean,ln_all,4.0,"[141, 142, 184]",0.6389658451080322,0.9940875619544325,0.1032482460141182,6.25086158834165e-07,0.03929048031568527,7.254641056060791,0.9446786712199418
1NOXA,clean,ln_all,8.0,"[141, 142, 184]",0.47750845551490784,0.7376074406258428,0.10324828326702118,1.1995943127729447e-10,0.04208311066031456,7.235193252563477,0.9421462337052502
1NOXA,clean,ln_all,10.0,"[141, 142, 184]",0.013158777728676796,-2.6569174695613887e-05,0.10324828326702118,2.210539694000313e-12,0.042572472244501114,7.231842994689941,0.9417099726784457
1NOXA,clean,ln_all,12.0,"[141, 142, 184]",0.012693413533270359,-0.000765814777517544,0.10324828326702118,4.218999281879743e-14,0.04276285693049431,7.230409622192383,0.9415233229991724
1NOXA,clean,ln_all,14.0,"[141, 142, 184]",0.010006647557020187,-0.005033826698846885,0.10324828326702118,8.207865725924418e-16,0.04282457008957863,7.229711532592773,0.941432419762161
1NOXA,clean,ln_all,16.0,"[141, 142, 184]",0.008170772343873978,-0.007950171987213556,0.10324828326702118,1.6185284227147482e-17,0.04282629117369652,7.229307651519775,0.9413798275205294
1NOXA,clean,ln_all,32.0,"[141, 142, 184]",0.006137119140475988,-0.011180693808867008,0.10324828326702118,4.967449166687894e-31,0.04263101518154144,7.2282209396362305,0.9412383189978868
1NOXA,clean,k_only,0.0,"[141, 142, 184]",0.6426877975463867,1.0,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,k_only,0.5,"[141, 142, 184]",0.6413357257843018,0.9978521916497077,0.1438896656036377,0.1345948427915573,0.07165081053972244,7.053170204162598,0.9184437113935379
1NOXA,clean,k_only,1.0,"[141, 142, 184]",0.6400892734527588,0.995872163073561,0.11983327567577362,0.10111778974533081,0.05351988226175308,7.153235912322998,0.9314739825660414
1NOXA,clean,k_only,2.0,"[141, 142, 184]",0.6382610201835632,0.9929679254819318,0.09847511351108551,0.05542231351137161,0.034641679376363754,7.258485794067383,0.9451793220396293
1NOXA,clean,k_only,4.0,"[141, 142, 184]",0.636954665184021,0.9908927396411031,0.1008436530828476,0.015929516404867172,0.03638158366084099,7.298137187957764,0.9503426134833997
1NOXA,clean,k_only,8.0,"[141, 142, 184]",0.6370193958282471,0.9909955662972668,0.1025908887386322,0.0014045583084225655,0.03697444871068001,7.279252052307129,0.9478834449712172
1NOXA,clean,k_only,10.0,"[141, 142, 184]",0.637116014957428,0.9911490488107488,0.10267991572618484,0.00045074615627527237,0.0370083749294281,7.274981498718262,0.9473273456606478
1NOXA,clean,k_only,12.0,"[141, 142, 184]",0.637172281742096,0.9912384303608579,0.10269588232040405,0.00015442597214132547,0.03701801225543022,7.273166656494141,0.9470910220813682
1NOXA,clean,k_only,14.0,"[141, 142, 184]",0.637202799320221,0.9912869084897307,0.10269974917173386,5.688143573934212e-05,0.03702090308070183,7.27241849899292,0.946993599144981
1NOXA,clean,k_only,16.0,"[141, 142, 184]",0.6372179985046387,0.9913110528703216,0.10270069539546967,2.2601487216888927e-05,0.03702181950211525,7.2721076011657715,0.946953114916476
1NOXA,clean,k_only,32.0,"[141, 142, 184]",0.6372360587120056,0.9913397420754944,0.10270098596811295,8.926510730589143e-08,0.03702230751514435,7.271853923797607,0.9469200817729718
1NOXA,clean,v_only,0.0,"[141, 142, 184]",0.6426877975463867,1.0,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,0.5,"[141, 142, 184]",0.6419174671173096,0.9987763059813447,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,1.0,"[141, 142, 184]",0.6409388780593872,0.9972217866066709,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,2.0,"[141, 142, 184]",0.6382638216018677,0.9929723756226682,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,4.0,"[141, 142, 184]",0.6297716498374939,0.979482294741523,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,8.0,"[141, 142, 184]",0.6074329018592834,0.9439964937743545,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,10.0,"[141, 142, 184]",0.5994223952293396,0.931271553048328,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,12.0,"[141, 142, 184]",0.5938854813575745,0.9224759919086677,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,14.0,"[141, 142, 184]",0.6146778464317322,0.955505315189362,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,16.0,"[141, 142, 184]",0.4926150143146515,0.7616046825209312,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1NOXA,clean,v_only,32.0,"[141, 142, 184]",0.009800255298614502,-0.005361687266954485,0.1775367558002472,0.17654062807559967,0.09440189599990845,6.908037185668945,0.8995449035819258
1YKIA,clean,clean_baseline,nan,"[49, 69, 129]",0.7542582750320435,1.0,0.05516932159662247,0.04811607301235199,0.01883462630212307,7.506008625030518,0.967075833198684
1YKIA,corrupt,corrupt_baseline,nan,"[60, 93, 77]",0.17913879454135895,0.0,0.06235572323203087,0.05561421811580658,0.02159854583442211,7.4680891036987305,0.9621902735732734
1YKIA,clean,corrupt_head_patch,nan,"[49, 69, 129]",0.6836771368980408,0.8772756956975553,0.06235572323203087,0.03156953677535057,0.02159854583442211,7.4680891036987305,0.9621902735732734
1YKIA,clean,ln_all,0.0,"[49, 69, 129]",0.7542582750320435,1.0,0.05516932159662247,0.04811607301235199,0.01883462630212307,7.506008625030518,0.967075833198684
