protein,n_res,anchor_pos,radius_int,jump_from_radius,jump_to_radius,jump_from_alpha_norm,jump_to_alpha_norm,max_jump_alpha_norm,steering_mode,alpha,n_visible,P_L5_visible,P_L2_visible,P_L_visible,full_P_L5_visible,full_P_L2_visible,full_P_L_visible,delta_vs_full_P_L5_visible,delta_vs_full_P_L2_visible,delta_vs_full_P_L_visible,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,12.0,61,1.0,0.7666666666666667,0.5573770491803278,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.06557377049180335,0.13212160766124725,5.30840775114883e-21,0.07886026054620743,6.320883750915527,0.9200215722024732
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,14.0,61,1.0,0.7666666666666667,0.5737704918032787,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.049180327868852514,0.13212160766124725,1.4166934087962952e-24,0.07958567887544632,6.317943096160889,0.9195935520209162
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,16.0,61,0.9166666666666666,0.7666666666666667,0.5573770491803278,1.0,0.7333333333333333,0.6229508196721312,-0.08333333333333337,0.03333333333333344,-0.06557377049180335,0.13212160766124725,3.889387596705829e-28,0.08027602732181549,6.315209865570068,0.9191957229823747
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,32.0,61,0.25,0.23333333333333334,0.22950819672131148,1.0,0.7333333333333333,0.6229508196721312,-0.75,-0.49999999999999994,-0.39344262295081966,0.13212160766124725,0.0,0.083219014108181,6.304161548614502,0.9175876108360029
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,0.0,41,0.25,0.2,0.14634146341463414,0.5,0.3,0.14634146341463414,-0.25,-0.09999999999999998,0.0,0.5298370718955994,0.5710782408714294,0.5710782408714294,3.8063547611236572,0.5331364077722858
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,0.5,41,0.125,0.2,0.14634146341463414,0.5,0.3,0.14634146341463414,-0.375,-0.09999999999999998,0.0,0.22507938742637634,0.22489862143993378,0.22489862143993378,5.986374855041504,0.838480537440236
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,1.0,41,0.125,0.25,0.14634146341463414,0.5,0.3,0.14634146341463414,-0.375,-0.04999999999999999,0.0,0.1024014875292778,0.050918903201818466,0.050918903201818466,6.730515480041504,0.9427084627355669
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,2.0,41,0.25,0.25,0.14634146341463414,0.5,0.3,0.14634146341463414,-0.25,-0.04999999999999999,0.0,0.07977382838726044,0.0017745111836120486,0.03455230966210365,6.799534797668457,0.9523756412766615
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,4.0,41,0.125,0.25,0.14634146341463414,0.5,0.3,0.14634146341463414,-0.375,-0.04999999999999999,0.0,0.08005943894386292,3.3137564514618134e-06,0.03460395336151123,6.791869163513184,0.9513019555817337
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,8.0,41,0.25,0.15,0.12195121951219512,0.5,0.3,0.14634146341463414,-0.25,-0.15,-0.02439024390243902,0.08005945384502411,3.226747341544822e-11,0.03456656634807587,6.79123592376709,0.9512132609684677
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,10.0,41,0.0,0.0,0.024390243902439025,0.5,0.3,0.14634146341463414,-0.5,-0.3,-0.12195121951219512,0.08005945384502411,1.2377139515119123e-13,0.03454943746328354,6.7911553382873535,0.9512019737774722
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,12.0,41,0.0,0.0,0.04878048780487805,0.5,0.3,0.14634146341463414,-0.5,-0.3,-0.09756097560975609,0.08005945384502411,5.129274715943012e-16,0.034536074846982956,6.791120529174805,0.9511970982452671
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,14.0,41,0.0,0.0,0.04878048780487805,0.5,0.3,0.14634146341463414,-0.5,-0.3,-0.09756097560975609,0.08005945384502411,2.2453892174007066e-18,0.034526415169239044,6.7910943031311035,0.9511934248990851
1HDKA,141,89,20,15,20,-0.1475652203015804,0.8790956410723837,1.026660861373964,direct,16.0,41,0.0,0.0,0.0,0.5,0.3,0.14634146341463414,-0.5,-0.3,-0.14634146341463414,0.08005945384502411,1.0225924195252338e-20,0.03451979160308838,6.7910590171813965,0.9511884825787675
