protein,context,alpha,layer,head,label,context_metric,delta_metric_from_context_baseline,clean_top3_mass,ablated_top3_mass,delta_top3_mass,clean_entropy_norm,ablated_entropy_norm,clean_cos_to_clean_l10h9,ablated_cos_to_clean_l10h9,delta_cos_to_clean_l10h9,clean_anchor_mass_to_clean_l10h9_top3,ablated_anchor_mass_to_clean_l10h9_top3,delta_anchor_mass_to_clean_l10h9_top3,keydist_jsd,is_known_anchor_head
2B61A,full,2.0,23,0,L23H0,1.0032891035079956,0.0032891035079956055,0.02984578162431717,0.02987271547317505,2.693384885787964e-05,0.9679878972459258,0.9680065062412271,0.07198414951562881,0.07190937548875809,-7.477402687072754e-05,0.014954067766666412,0.014950340613722801,-3.727152943611145e-06,5.512873605948613e-06,False
2B61A,full,2.0,23,1,L23H1,1.0032891035079956,0.0032891035079956055,0.05953194946050644,0.05973188579082489,0.00019993633031845093,0.9323890006656309,0.9320691376655567,0.025905080139636993,0.02594916708767414,4.408694803714752e-05,0.003748654155060649,0.0037534222938120365,4.768138751387596e-06,1.079138173165048e-05,False
2B61A,full,2.0,23,2,L23H2,1.0032891035079956,0.0032891035079956055,0.06568736582994461,0.0656939148902893,6.549060344696045e-06,0.947245107627103,0.947060912002953,0.11821246147155762,0.11857933551073074,0.0003668740391731262,0.014058533124625683,0.014115975238382816,5.7442113757133484e-05,1.1857272568394333e-05,False
2B61A,full,2.0,23,3,L23H3,1.0032891035079956,0.0032891035079956055,0.031709637492895126,0.031642425805330276,-6.721168756484985e-05,0.9642391318571435,0.9643529030200335,0.033991675823926926,0.0344497375190258,0.00045806169509887695,0.010625158436596394,0.01062662061303854,1.4621764421463013e-06,9.233116646793122e-06,False
2B61A,full,2.0,23,4,L23H4,1.0032891035079956,0.0032891035079956055,0.06225597858428955,0.0625816136598587,0.00032563507556915283,0.9458185665621488,0.9456409453734644,0.1284947544336319,0.12830357253551483,-0.00019118189811706543,0.013052728958427906,0.013060645200312138,7.916241884231567e-06,9.978109761844204e-06,False
2B61A,full,2.0,23,5,L23H5,1.0032891035079956,0.0032891035079956055,0.08739957958459854,0.087372787296772,-2.6792287826538086e-05,0.9391378258178692,0.9391217797380884,0.15395964682102203,0.15317951142787933,-0.0007801353931427002,0.017686698585748672,0.017595957964658737,-9.07406210899353e-05,1.0134671237838161e-05,False
2B61A,full,2.0,23,6,L23H6,1.0032891035079956,0.0032891035079956055,0.044705830514431,0.04462826997041702,-7.756054401397705e-05,0.9716318059605852,0.9715281750286677,0.055170610547065735,0.05521383881568909,4.322826862335205e-05,0.0059248111210763454,0.0059161921963095665,-8.618924766778946e-06,9.129521977041533e-06,False
2B61A,full,2.0,23,7,L23H7,1.0032891035079956,0.0032891035079956055,0.11999387294054031,0.12022488564252853,0.00023101270198822021,0.8935819467247232,0.8935258411610453,0.17285989224910736,0.17263954877853394,-0.0002203434705734253,0.03076634742319584,0.030789989978075027,2.3642554879188538e-05,7.354023451011801e-06,False
2B61A,full,2.0,23,8,L23H8,1.0032891035079956,0.0032891035079956055,0.06259787827730179,0.06242118030786514,-0.0001766979694366455,0.9333833561720455,0.9334670966509013,0.248731330037117,0.2466873973608017,-0.0020439326763153076,0.027839723974466324,0.02768133208155632,-0.00015839189291000366,9.294647578322701e-06,False
2B61A,full,2.0,23,9,L23H9,1.0032891035079956,0.0032891035079956055,0.06258304417133331,0.062247730791568756,-0.0003353133797645569,0.9490423799936588,0.9491313020191106,0.08781228214502335,0.08804088830947876,0.00022860616445541382,0.010083911940455437,0.010109465569257736,2.55536288022995e-05,9.548558331597384e-06,False
2B61A,full,2.0,23,10,L23H10,1.0032891035079956,0.0032891035079956055,0.02244732715189457,0.02246045507490635,1.3127923011779785e-05,0.98118546357228,0.9811255136353213,0.097142793238163,0.09647035598754883,-0.0006724372506141663,0.012032940983772278,0.011956090107560158,-7.685087621212006e-05,6.0101742668616545e-06,False
2B61A,full,2.0,23,11,L23H11,1.0032891035079956,0.0032891035079956055,0.06514570116996765,0.06509473919868469,-5.0961971282958984e-05,0.9503567099312573,0.9504968902671198,0.04325465112924576,0.043869905173778534,0.0006152540445327759,0.004604858811944723,0.004670723807066679,6.586499512195587e-05,8.362982608383947e-06,False
2B61A,full,2.0,23,12,L23H12,1.0032891035079956,0.0032891035079956055,0.09888499975204468,0.09896854311227798,8.354336023330688e-05,0.913706237969774,0.9135719077671649,0.07540841400623322,0.07557263970375061,0.00016422569751739502,0.0112906564027071,0.011363649740815163,7.299333810806274e-05,1.0891005784934666e-05,False
2B61A,full,2.0,23,13,L23H13,1.0032891035079956,0.0032891035079956055,0.05483090877532959,0.05485374107956886,2.283230423927307e-05,0.9394265438228134,0.9393587937081835,0.07611779123544693,0.07637394219636917,0.0002561509609222412,0.00785673689097166,0.00786875281482935,1.2015923857688904e-05,8.829595948863113e-06,False
2B61A,full,2.0,23,14,L23H14,1.0032891035079956,0.0032891035079956055,0.06166059523820877,0.061213910579681396,-0.00044668465852737427,0.9420432805692843,0.9421807865585168,0.047131165862083435,0.047139547765254974,8.381903171539307e-06,0.0078119076788425446,0.007778686471283436,-3.3221207559108734e-05,1.1869634606454786e-05,False
2B61A,full,2.0,23,15,L23H15,1.0032891035079956,0.0032891035079956055,0.05927169322967529,0.05954007804393768,0.00026838481426239014,0.9481898205741959,0.9478582015920599,0.09320885688066483,0.09248519688844681,-0.0007236599922180176,0.01529456302523613,0.015267610549926758,-2.6952475309371948e-05,9.13001539543253e-06,False
2B61A,full,2.0,23,16,L23H16,1.0032891035079956,0.0032891035079956055,0.03959938511252403,0.03958601504564285,-1.337006688117981e-05,0.9588969016012431,0.9588201255667366,0.07802235335111618,0.07836093753576279,0.00033858418464660645,0.008092406205832958,0.008120686747133732,2.828054130077362e-05,1.012968652890407e-05,False
2B61A,full,2.0,23,17,L23H17,1.0032891035079956,0.0032891035079956055,0.12991604208946228,0.13017964363098145,0.00026360154151916504,0.8856663821395367,0.8850844888852646,0.08180223405361176,0.08154179155826569,-0.00026044249534606934,0.01986924186348915,0.019908268004655838,3.902614116668701e-05,1.0187319017040692e-05,False
