feature,coefficient,abs_coefficient
aa_22_C,-0.661855,0.661855
sse_6_C,-0.660962,0.660962
aa_11_M,-0.658456,0.658456
aa_-14_D,-0.654678,0.654678
aa_5_M,0.654478,0.654478
aa_-12_Y,-0.654293,0.654293
aa_-19_R,0.653851,0.653851
aa_7_P,0.653549,0.653549
aa_14_D,-0.650506,0.650506
aa_4_W,0.648769,0.648769
aa_23_H,0.640846,0.640846
aa_29_Y,0.640329,0.640329
aa_5_A,0.634869,0.634869
aa_-22_P,0.634416,0.634416
aa_2_A,-0.633298,0.633298
flex_-29,0.631233,0.631233
aa_12_I,-0.630473,0.630473
aa_-25_C,-0.629033,0.629033
flex_-16,0.625481,0.625481
aa_24_P,0.624932,0.624932
cnt_center_-5,-0.624287,0.624287
aa_-4_Q,0.621415,0.621415
aa_-22_T,-0.619272,0.619272
aa_6_C,0.614789,0.614789
aa_-21_G,0.612301,0.612301
cnt_center_8,-0.609411,0.609411
aa_18_N,-0.606312,0.606312
cnt_center_-19,-0.605123,0.605123
sse_-11_H,0.604607,0.604607
aa_28_P,0.602480,0.602480
sse_-28_E,0.600477,0.600477
aa_26_P,-0.600291,0.600291
aa_9_P,-0.599413,0.599413
lrf_16,0.593842,0.593842
aa_28_A,-0.590857,0.590857
aa_24_K,-0.589253,0.589253
aa_-6_W,0.588503,0.588503
aa_23_A,0.579347,0.579347
aa_-22_Q,0.576329,0.576329
aa_3_M,0.576205,0.576205
aa_-29_Q,0.574340,0.574340
aa_-16_L,-0.573632,0.573632
aa_-30_D,0.571096,0.571096
rsa_16,-0.568507,0.568507
flex_13,-0.568271,0.568271
aa_-9_F,0.561829,0.561829
sse_trans_0,-0.561265,0.561265
aa_-27_C,-0.560274,0.560274
sse_9_H,-0.559591,0.559591
sse_trans_-10,-0.559035,0.559035
aa_24_Q,-0.555412,0.555412
rsa_19,0.554822,0.554822
aa_-22_F,-0.554812,0.554812
flex_-5,0.554761,0.554761
aa_28_T,0.553826,0.553826
aa_21_L,0.553699,0.553699
aa_-28_W,-0.553580,0.553580
aa_-30_P,0.553478,0.553478
aa_-2_C,-0.550816,0.550816
aa_-26_C,-0.544427,0.544427
aa_2_Q,-0.543982,0.543982
flex_-21,0.542519,0.542519
flex_22,-0.541235,0.541235
aa_30_P,-0.538051,0.538051
sse_1_C,-0.533315,0.533315
aa_29_E,0.530380,0.530380
aa_-14_R,0.525099,0.525099
aa_1_C,-0.525023,0.525023
rsa_7,-0.512469,0.512469
sse_-20_E,-0.511605,0.511605
aa_-5_C,0.506993,0.506993
lrf_29,-0.505450,0.505450
aa_3_C,-0.503559,0.503559
aa_-7_R,-0.498962,0.498962
aa_23_F,-0.498660,0.498660
aa_4_D,-0.495359,0.495359
rsa_6,-0.494911,0.494911
aa_-10_L,0.494183,0.494183
aa_-30_Y,0.487071,0.487071
aa_9_G,-0.484455,0.484455
aa_-28_F,-0.482415,0.482415
rsa_-10,-0.481675,0.481675
aa_11_N,0.481171,0.481171
aa_-19_D,-0.481154,0.481154
aa_16_R,0.478271,0.478271
cnt_center_-21,-0.476755,0.476755
aa_30_M,-0.476664,0.476664
sse_trans_-1,0.476117,0.476117
aa_14_W,0.475579,0.475579
aa_7_L,0.475115,0.475115
sse_27_E,0.474591,0.474591
aa_-30_I,-0.472347,0.472347
aa_-29_C,0.471777,0.471777
aa_22_W,0.470646,0.470646
aa_-5_T,-0.470175,0.470175
aa_15_E,-0.469745,0.469745
aa_-25_Y,0.468556,0.468556
cnt_center_-15,0.462853,0.462853
aa_-10_G,0.462524,0.462524
aa_14_Y,-0.458894,0.458894
aa_28_H,-0.458560,0.458560
pos_in_sse,-0.457350,0.457350
sse_-15_E,0.456704,0.456704
aa_23_P,-0.454832,0.454832
cnt_center_28,-0.454239,0.454239
aa_6_N,-0.453967,0.453967
aa_-17_P,-0.451393,0.451393
aa_-11_F,0.449519,0.449519
aa_6_Q,-0.447603,0.447603
aa_-23_M,0.446409,0.446409
aa_-9_T,-0.444395,0.444395
aa_-12_N,0.441620,0.441620
aa_29_C,0.440109,0.440109
cnt_center_16,0.439231,0.439231
aa_-25_P,-0.438805,0.438805
aa_1_V,-0.438248,0.438248
aa_-20_S,-0.437322,0.437322
sse_-24_H,0.436510,0.436510
aa_0_W,-0.436318,0.436318
sse_6_H,0.434952,0.434952
sse_-28_C,-0.433824,0.433824
sse_trans_2,-0.429790,0.429790
aa_-4_W,0.429376,0.429376
aa_-25_D,0.428726,0.428726
aa_17_H,-0.428670,0.428670
aa_17_V,-0.428563,0.428563
aa_-16_S,0.428348,0.428348
aa_13_C,0.424501,0.424501
cnt_center_12,-0.423562,0.423562
aa_15_T,-0.423097,0.423097
aa_23_L,0.422935,0.422935
flex_14,-0.421264,0.421264
rsa_14,0.420298,0.420298
aa_-21_K,0.420026,0.420026
rsa_-7,-0.416838,0.416838
aa_10_M,0.416369,0.416369
sse_trans_4,0.416091,0.416091
aa_30_W,-0.414946,0.414946
aa_25_G,-0.414337,0.414337
flex_-22,-0.414237,0.414237
aa_9_Q,-0.414077,0.414077
aa_-15_N,-0.413828,0.413828
flex_-19,0.413708,0.413708
aa_29_H,-0.413591,0.413591
aa_-30_R,-0.413475,0.413475
aa_-1_H,-0.412497,0.412497
rsa_-29,0.410132,0.410132
charge_3,-0.408837,0.408837
aa_-28_V,-0.408523,0.408523
aa_-27_I,0.408497,0.408497
aa_-16_G,0.407665,0.407665
aa_30_Q,0.407523,0.407523
cnt_center_-22,-0.407507,0.407507
aa_-23_A,-0.407218,0.407218
aa_-25_L,-0.406242,0.406242
aa_21_R,-0.403970,0.403970
aa_-25_K,-0.402798,0.402798
aa_12_N,0.402133,0.402133
aa_-13_Q,-0.400637,0.400637
aa_-25_N,0.400468,0.400468
aa_-28_D,-0.400119,0.400119
aa_5_R,-0.397142,0.397142
aa_11_L,0.396913,0.396913
aa_18_L,0.396250,0.396250
aa_29_L,-0.395746,0.395746
aa_-11_T,0.394289,0.394289
aa_17_S,0.393924,0.393924
aa_7_H,-0.391604,0.391604
lrf_20,-0.389967,0.389967
aa_0_N,-0.388927,0.388927
aa_-21_W,-0.387741,0.387741
aa_-23_K,-0.385616,0.385616
charge_2,-0.385404,0.385404
aa_-27_A,0.383283,0.383283
aa_26_N,-0.381895,0.381895
aa_30_K,0.381186,0.381186
sse_-1_E,0.379842,0.379842
aa_15_G,0.378427,0.378427
aa_14_V,0.377371,0.377371
aa_0_L,0.376646,0.376646
aa_30_S,0.375207,0.375207
aa_-26_P,0.374874,0.374874
aa_-28_R,0.370762,0.370762
aa_-18_M,0.370304,0.370304
aa_-4_E,-0.370166,0.370166
rsa_11,0.369885,0.369885
aa_22_S,0.367958,0.367958
aa_-22_V,0.367091,0.367091
aa_-20_R,-0.366690,0.366690
aa_22_V,-0.366383,0.366383
aa_-4_G,0.365916,0.365916
aa_21_K,0.365674,0.365674
aa_3_L,0.365573,0.365573
aa_-9_A,-0.363842,0.363842
aa_-8_S,0.362392,0.362392
aa_25_E,0.361477,0.361477
aa_10_A,-0.360470,0.360470
aa_9_F,0.357993,0.357993
aa_29_T,0.356896,0.356896
sse_trans_3,0.356250,0.356250
aa_-30_F,0.354711,0.354711
sse_-20_C,0.354657,0.354657
aa_11_W,0.354066,0.354066
aa_-26_Y,0.353861,0.353861
aa_18_T,-0.352460,0.352460
aa_27_H,0.352315,0.352315
aa_-19_V,-0.349254,0.349254
sse_17_H,0.348987,0.348987
aa_-13_R,0.348945,0.348945
aa_18_V,-0.347513,0.347513
aa_-14_C,-0.347116,0.347116
aa_-23_Y,0.345645,0.345645
aa_-10_M,0.344156,0.344156
aa_-10_D,-0.343512,0.343512
aa_-1_I,0.341843,0.341843
aa_-20_N,-0.340097,0.340097
aa_-28_E,-0.335424,0.335424
aa_-21_A,-0.331053,0.331053
aa_10_Y,0.330275,0.330275
aa_-24_A,-0.330101,0.330101
sse_trans_24,-0.330072,0.330072
aa_-27_F,0.328429,0.328429
aa_-28_A,0.328206,0.328206
aa_25_W,0.327739,0.327739
aa_-13_T,0.327446,0.327446
aa_-24_Q,0.327392,0.327392
aa_-15_T,-0.326773,0.326773
aa_19_W,0.326709,0.326709
aa_3_G,0.326649,0.326649
sse_-22_H,-0.325357,0.325357
aa_14_K,0.324715,0.324715
aa_-7_G,0.324342,0.324342
aa_-11_N,-0.324148,0.324148
aa_-17_N,-0.323745,0.323745
aa_29_M,0.323458,0.323458
rsa_-8,0.323346,0.323346
aa_-12_T,-0.323024,0.323024
flex_4,-0.322882,0.322882
aa_19_K,0.322425,0.322425
aa_14_R,-0.322315,0.322315
aa_-14_P,0.322284,0.322284
aa_-15_Y,-0.321203,0.321203
aa_29_A,-0.318581,0.318581
aa_-11_R,-0.317203,0.317203
aa_19_M,0.317158,0.317158
aa_-29_F,-0.316258,0.316258
rsa_25,-0.311348,0.311348
aa_-8_M,-0.311065,0.311065
aa_20_R,0.310109,0.310109
aa_18_D,-0.309311,0.309311
aa_-13_C,-0.309055,0.309055
aa_7_E,-0.306704,0.306704
aa_9_A,-0.306275,0.306275
aa_15_N,0.306270,0.306270
frac_pos,0.306202,0.306202
aa_22_H,-0.303550,0.303550
sse_-30_E,0.301139,0.301139
aa_16_H,-0.300858,0.300858
sse_trans_-26,0.300326,0.300326
aa_21_F,-0.298233,0.298233
aa_27_T,-0.297591,0.297591
aa_2_H,-0.297439,0.297439
aa_23_E,-0.296522,0.296522
hydro_0,0.294881,0.294881
aa_-19_C,0.294516,0.294516
aa_-20_L,0.292565,0.292565
aa_-4_V,-0.292175,0.292175
aa_0_D,0.291572,0.291572
flex_29,0.291027,0.291027
aa_12_K,-0.289987,0.289987
aa_12_P,0.289789,0.289789
aa_-19_G,0.289720,0.289720
aa_19_I,0.289457,0.289457
aa_-17_T,-0.288412,0.288412
aa_-14_K,-0.288104,0.288104
aa_7_T,-0.286594,0.286594
aa_24_L,-0.284470,0.284470
aa_-11_A,-0.281278,0.281278
aa_-8_H,0.280222,0.280222
aa_9_H,0.279227,0.279227
aa_-6_H,0.276600,0.276600
aa_19_G,0.273386,0.273386
aa_-16_E,0.272841,0.272841
aa_29_S,-0.272315,0.272315
aa_16_N,-0.272149,0.272149
flex_-3,-0.270268,0.270268
aa_16_I,-0.270026,0.270026
aa_-30_H,-0.269964,0.269964
aa_13_M,0.269624,0.269624
aa_17_F,-0.268723,0.268723
aa_-30_W,0.268004,0.268004
aa_28_F,-0.266996,0.266996
aa_-14_T,-0.263911,0.263911
aa_-27_K,0.263798,0.263798
aa_27_M,0.263726,0.263726
aa_1_N,0.263274,0.263274
aa_-7_Y,-0.261324,0.261324
aa_12_F,-0.259311,0.259311
aa_15_C,-0.258996,0.258996
rsa_29,-0.258154,0.258154
aa_-17_H,-0.257606,0.257606
aa_25_T,0.256925,0.256925
aa_30_D,-0.256847,0.256847
cnt_center_-8,0.255554,0.255554
aa_4_Q,-0.254845,0.254845
sse_-19_C,-0.254702,0.254702
aa_12_D,-0.254096,0.254096
