mode,stratum,tm_range,model,n,r2,params,se
top1,cross_pfam_same_hsf,tm03_08,M1_AA,503,0.11984809809142216,"{""Intercept"": 1.9553855426024005, ""tm"": 5.497700495671508, ""d_aa"": -6.237192264545022}","{""Intercept"": 1.7349020184865542, ""tm"": 1.5590952159472697, ""d_aa"": 1.6042560643012709}"
top1,cross_pfam_same_hsf,tm03_08,M1_3Di,503,0.32947364329685,"{""Intercept"": 7.848988516476657, ""tm"": 3.3980715120273746, ""d_3di"": -13.207652180091397}","{""Intercept"": 1.8664552468737747, ""tm"": 1.8509276160119978, ""d_3di"": 1.612398971286988}"
top1,cross_pfam_same_hsf,tm03_08,M2,503,0.33184214251502353,"{""Intercept"": 6.001654737998743, ""tm"": 3.7415916950777546, ""d_aa"": 2.484442701819204, ""d_3di"": -13.895614784101028}","{""Intercept"": 2.382420794019424, ""tm"": 1.8755554932092526, ""d_aa"": 2.3764247490827133, ""d_3di"": 1.8567299890008413}"
top1,cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,503,,"{""lo"": 0.0006796913726770188, ""hi"": 0.0747764783013418}",
top1,cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,503,,"{""lo"": 0.12143577574716116, ""hi"": 0.4116487620190332}",
top1,within_or_cross_pfam_same_hsf,all,M0,892,0.2248199257625828,"{""Intercept"": -4.417357068486776, ""tm"": 7.325096235668264}","{""Intercept"": 0.6371874570778803, ""tm"": 1.1298446898348324}"
top1,within_or_cross_pfam_same_hsf,all,M1_AA,892,0.2592890399100778,"{""Intercept"": 3.0936071515079266, ""tm"": 5.846892837490472, ""d_aa"": -7.665927735031221}","{""Intercept"": 1.1991103861393981, ""tm"": 1.1352917516246943, ""d_aa"": 1.3306760943617857}"
top1,within_or_cross_pfam_same_hsf,all,M1_3Di,892,0.447305584985219,"{""Intercept"": 7.710035113129685, ""tm"": 4.005552350895281, ""d_3di"": -13.511237294523115}","{""Intercept"": 1.206363349700266, ""tm"": 1.3678113430825025, ""d_3di"": 1.194657558004907}"
top1,within_or_cross_pfam_same_hsf,all,M2,892,0.44897197073625883,"{""Intercept"": 6.019630677268614, ""tm"": 4.342902600321688, ""d_aa"": 2.305451691082753, ""d_3di"": -14.181539302824788}","{""Intercept"": 1.4661734055004931, ""tm"": 1.337606227014942, ""d_aa"": 2.17270546768708, ""d_3di"": 1.583906454102672}"
top1,within_or_cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,892,,"{""lo"": 0.011432616638827506, ""hi"": 0.07622089873358341}",
top1,within_or_cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,892,,"{""lo"": 0.1489827454370047, ""hi"": 0.32111750036404046}",
top1,within_or_cross_pfam_same_hsf,tm03_08,M0,661,0.12288269546827535,"{""Intercept"": -4.242198707652254, ""tm"": 6.9298275360731925}","{""Intercept"": 0.6585126726172408, ""tm"": 1.2107253043871269}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,661,0.17282816369166099,"{""Intercept"": 4.331122662461709, ""tm"": 5.087605483607155, ""d_aa"": -8.631921821346554}","{""Intercept"": 1.3689630412437856, ""tm"": 1.2681032235473335, ""d_aa"": 1.2646970871918806}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,661,0.3912380969446908,"{""Intercept"": 8.622217648104744, ""tm"": 2.9320645228054927, ""d_3di"": -13.910831128328532}","{""Intercept"": 1.553658633117467, ""tm"": 1.500938535476757, ""d_3di"": 1.4438826367203796}"
top1,within_or_cross_pfam_same_hsf,tm03_08,M2,661,0.39207680725683647,"{""Intercept"": 7.498899479447272, ""tm"": 3.1766828539268155, ""d_aa"": 1.532897534759046, ""d_3di"": -14.370915634470148}","{""Intercept"": 1.84533816460984, ""tm"": 1.523207143259482, ""d_aa"": 2.252105281778425, ""d_3di"": 1.8291406989214047}"
top1,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,661,,"{""lo"": 0.012446053447022357, ""hi"": 0.13632249598001311}",
top1,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,661,,"{""lo"": 0.14619635231021869, ""hi"": 0.3947442542054301}",
