protein,receiver_layer,receiver_head,receiver_group,alpha_star,total_metric,replay_metric,replay_drop,replay_faithfulness,replay_fraction_of_total_drop,blocking_metric,blocking_reduction,blocking_faithfulness,blocking_fraction_of_total_drop,total_attn_diff_l1,total_attn_diff_l2,total_attn_diff_max,pass_c_attn_diff_l1,pass_c_attn_diff_l2,pass_c_attn_diff_max,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm
2B61A,16,17,,0.25,0.331472247838974,0.5709956288337708,0.0027988553047180176,0.9948733413288506,0.01155013814439456,0.3371880054473877,0.005715757608413696,0.566608301048256,0.02358742513975859,51.60954284667969,0.682177722454071,0.1737697720527649,13.28007698059082,0.14293833076953888,0.02158522605895996,193.4143524169922,171.75753784179688,71.39889526367188
2B61A,15,2,,0.25,0.331472247838974,0.577269434928894,-0.0034749507904052734,1.0063650616633943,-0.01434020601440047,0.3445015549659729,0.013029307126998901,0.5800045177062344,0.05376851636056394,50.437217712402344,0.7460659742355347,0.1679094135761261,13.583608627319336,0.22810935974121094,0.03662055730819702,149.18589782714844,123.00865173339844,62.89835739135742
2B61A,13,8,,0.25,0.331472247838974,0.573533833026886,0.0002606511116027832,0.9995225657863804,0.0010756384374094898,0.3366921544075012,0.005219906568527222,0.565700051511759,0.021541178590293798,41.93424606323242,0.5268592834472656,0.1068885326385498,14.586692810058594,0.11801835149526596,0.03271716833114624,156.58428955078125,134.63079833984375,38.0455322265625
2B61A,11,6,,0.25,0.331472247838974,0.5655999183654785,0.008194565773010254,0.9849900273137775,0.03381681309214074,0.3379427492618561,0.00647050142288208,0.5679907640553354,0.026702053933195056,24.592470169067383,0.23158763349056244,0.05480650067329407,24.592470169067383,0.23158763349056244,0.05480650067329407,155.84075927734375,160.5280303955078,65.37228393554688
2B61A,17,5,,0.25,0.331472247838974,0.5732132196426392,0.0005812644958496094,0.9989352987763049,0.002398725369681533,0.3335791826248169,0.0021069347858428955,0.5599980262031125,0.008694764533448284,64.0061264038086,0.8380599617958069,0.1992262601852417,10.461471557617188,0.12547431886196136,0.03737059235572815,176.06785583496094,141.74998474121094,74.28927612304688
2B61A,14,0,,0.25,0.331472247838974,0.5717432498931885,0.002051234245300293,0.9962427575971861,0.008464903083697732,0.33551013469696045,0.00403788685798645,0.5635349479466342,0.016663294791467453,52.754310607910156,1.0776383876800537,0.3146316409111023,18.148988723754883,0.22936654090881348,0.05027911067008972,158.57058715820312,133.9004364013672,50.004703521728516
2B61A,16,15,,0.25,0.331472247838974,0.5736821293830872,0.00011235475540161133,0.9997941999788079,0.00046365846204365153,0.33622559905052185,0.0047533512115478516,0.5648454628295939,0.019615827602682823,45.12685775756836,0.7398972511291504,0.11590063571929932,10.272163391113281,0.16600574553012848,0.03040984272956848,184.35487365722656,186.604736328125,72.12442779541016
2B61A,13,18,,0.25,0.331472247838974,0.5722138285636902,0.001580655574798584,0.9971047157761311,0.006522948941610395,0.33460280299186707,0.0031305551528930664,0.5618729899505618,0.012918975991223696,50.12234878540039,0.9617440700531006,0.20226213335990906,18.31285858154297,0.2719953954219818,0.0437072217464447,175.4407196044922,180.36477661132812,52.70637893676758
2B61A,12,3,,0.25,0.331472247838974,0.5724810361862183,0.0013134479522705078,0.997594159540059,0.005420253511720904,0.33593523502349854,0.004462987184524536,0.5643136035175318,0.018417571794807148,25.700336456298828,0.33115267753601074,0.05996060371398926,18.83011245727539,0.19117143750190735,0.04511529207229614,140.23358154296875,173.2100830078125,49.04568099975586
2B61A,14,19,,0.25,0.331472247838974,0.5747261643409729,-0.0009316802024841309,1.0017065570988082,-0.003844798631408126,0.3326495289802551,0.001177281141281128,0.5582951811471268,0.004858328972443068,32.97380828857422,0.5971671938896179,0.21176308393478394,10.832244873046875,0.18613317608833313,0.06652593612670898,197.29373168945312,191.50320434570312,66.04983520507812
2B61A,16,7,,0.25,0.331472247838974,0.5741673111915588,-0.00037282705307006836,1.0006829067016214,-0.001538558981476414,0.32923734188079834,-0.002234905958175659,0.5520450836335019,-0.00922286783212612,80.5358657836914,1.884972095489502,0.5673007369041443,14.437095642089844,0.2745800316333771,0.09947866201400757,183.1278076171875,192.41590881347656,117.67420959472656
2B61A,19,15,,0.25,0.331472247838974,0.5687779784202576,0.005016505718231201,0.9908112747036663,0.020701796891766495,0.33776596188545227,0.0062937140464782715,0.5676669429079318,0.02597249902687067,53.71565246582031,0.8146448731422424,0.13409635424613953,14.01210880279541,0.5415711998939514,0.12240049242973328,169.09634399414062,165.88673400878906,67.20683288574219
2B61A,14,13,,0.25,0.331472247838974,0.5733380317687988,0.0004564523696899414,0.9991639169430828,0.0018836586219258798,0.3346652388572693,0.003192991018295288,0.5619873536228158,0.013176632351430977,41.50669860839844,0.6515735983848572,0.1316457986831665,13.265453338623047,0.21463343501091003,0.04027104377746582,178.04971313476562,177.6385040283203,53.76861572265625
1PVGA,13,2,INTRA,0.25,0.3416675627231598,0.5871572494506836,0.004972875118255615,0.9905760695324791,0.019854764247431232,0.35621723532676697,0.014549672603607178,0.5529293192083943,0.05809120731012101,42.68044662475586,0.6455753445625305,0.09681153297424316,20.81852912902832,0.36309993267059326,0.07154005765914917,211.03919982910156,195.86302185058594,67.20780944824219
1PVGA,17,10,INTRA,0.25,0.3416675627231598,0.5908122062683105,0.0013179183006286621,0.99750245680182,0.005261937316764176,0.36763206124305725,0.02596449851989746,0.5745611766703023,0.1036661859902436,43.44169616699219,0.8377670049667358,0.18935948610305786,17.308395385742188,0.29598718881607056,0.06392019987106323,217.37124633789062,170.54449462890625,76.15049743652344
1PVGA,14,4,CROSS,0.25,0.3416675627231598,0.5906016826629639,0.0015284419059753418,0.997103500509659,0.006102476532666264,0.3745977580547333,0.032930195331573486,0.5877616373394399,0.13147751539749092,40.48793029785156,0.43625104427337646,0.06396862864494324,20.732141494750977,0.21834683418273926,0.03698113560676575,180.93197631835938,137.59298706054688,53.76411437988281
1PVGA,15,8,CROSS,0.25,0.3416675627231598,0.5849556922912598,0.007174432277679443,0.9864039716821795,0.02864472927533597,0.3693610727787018,0.027693510055541992,0.5778377690041092,0.11056945936931716,47.32292175292969,0.41507822275161743,0.07838019728660583,20.351945877075195,0.22043995559215546,0.053356707096099854,173.16835021972656,149.50140380859375,50.662715911865234
1PVGA,26,16,CROSS,0.25,0.3416675627231598,0.592346727848053,-0.00021660327911376953,1.0004104776799867,-0.000864812998467777,0.3849525451660156,0.043284982442855835,0.6073846504701086,0.1728201697046773,45.63057327270508,0.5588356256484985,0.2455056607723236,11.396759986877441,0.1280079334974289,0.02643108367919922,175.338623046875,195.23826599121094,83.44618225097656
1PVGA,27,15,CROSS,0.25,0.3416675627231598,0.5945343375205994,-0.0024042129516601562,1.0045561441111568,-0.009599091113427697,0.39771947264671326,0.05605190992355347,0.6315788306980206,0.22379356623393096,54.125038146972656,0.7912824153900146,0.18524321913719177,13.321989059448242,0.15715311467647552,0.040616393089294434,179.9025115966797,185.6075897216797,69.87274169921875
1PVGA,29,18,CROSS,0.25,0.3416675627231598,0.5922932624816895,-0.00016313791275024414,1.00030915723999,-0.000651346498845984,0.37189745903015137,0.030229896306991577,0.5826443903456926,0.12069626727528814,57.52206802368164,1.1382036209106445,0.4214124083518982,12.35824966430664,0.1908537894487381,0.03531673550605774,173.99620056152344,184.45594787597656,87.5069808959961
