rank,layer,head,IE,behavior
401,25,6,0.005,
402,24,19,0.005,
403,8,1,0.005,
404,30,3,0.005,
405,18,4,0.005,
406,25,11,0.005,
407,24,8,0.005,
408,18,19,0.005,
409,26,15,0.005,
410,3,2,0.005,
411,16,11,0.005,
412,2,5,0.005,
413,1,15,0.006,
414,15,12,0.006,
415,18,8,0.006,
416,6,1,0.006,
417,10,18,0.006,
418,21,7,0.006,
419,3,10,0.006,
420,1,17,0.006,
421,17,4,0.006,
422,25,10,0.006,
423,1,2,0.006,
424,29,14,0.006,
425,15,3,0.006,
426,18,16,0.006,
427,19,16,0.006,
428,31,6,0.006,
429,4,5,0.007,
430,31,10,0.007,
431,2,17,0.007,
432,28,5,0.007,
433,14,16,0.007,
434,3,14,0.007,
435,29,15,0.007,
436,5,13,0.007,
437,20,1,0.007,
438,25,15,0.007,
439,4,13,0.007,
440,22,11,0.007,
441,27,13,0.007,
442,19,4,0.007,
443,2,1,0.007,
444,20,3,0.007,
445,31,8,0.007,
446,4,6,0.007,
447,23,19,0.008,
448,7,7,0.008,
449,6,15,0.008,
450,23,3,0.008,
451,1,4,0.008,
452,8,17,0.008,
453,12,17,0.008,
454,16,16,0.008,
455,16,13,0.008,
456,12,0,0.008,
457,14,8,0.008,
458,21,5,0.009,
459,23,17,0.009,
460,11,17,0.009,
461,27,6,0.009,
462,10,4,0.009,
463,17,1,0.009,
464,28,9,0.009,
465,28,19,0.009,
466,21,18,0.009,
467,19,5,0.009,
468,12,11,0.009,
469,15,1,0.009,
470,8,15,0.009,
471,16,12,0.009,
472,18,0,0.010,
473,8,10,0.010,
474,10,16,0.010,
475,19,13,0.010,
476,32,14,0.010,
477,3,4,0.010,
478,30,19,0.010,
479,26,3,0.010,
480,18,12,0.010,
481,24,5,0.010,
482,28,17,0.010,
483,19,2,0.010,
484,15,14,0.010,
485,25,2,0.010,
486,31,18,0.010,
487,4,4,0.010,
488,26,4,0.010,
489,24,11,0.010,
490,31,1,0.011,
491,29,0,0.011,
492,12,19,0.011,
493,19,14,0.011,
494,8,13,0.011,
495,6,10,0.011,
496,26,8,0.011,
497,22,15,0.011,
498,26,6,0.012,
499,5,8,0.012,
500,10,11,0.012,
501,24,1,0.012,
502,2,11,0.012,
503,15,13,0.012,
504,20,2,0.012,
505,30,9,0.012,
506,20,8,0.012,
507,23,6,0.012,
508,9,5,0.012,
509,22,10,0.012,
510,3,9,0.012,
511,3,12,0.013,
512,16,18,0.013,
513,16,2,0.013,
514,0,11,0.013,
515,26,11,0.013,
516,8,7,0.013,
517,15,16,0.013,
518,20,4,0.013,
519,32,0,0.014,
520,2,9,0.014,
521,7,4,0.014,
522,30,7,0.014,
523,4,19,0.014,
524,18,11,0.014,
525,5,16,0.014,
526,6,13,0.014,
527,11,2,0.014,
528,2,2,0.014,
529,16,8,0.014,
530,19,18,0.015,
531,14,7,0.015,
532,27,10,0.015,
533,11,12,0.015,
534,23,12,0.015,
535,0,19,0.015,
536,7,3,0.016,
537,17,13,0.016,
538,10,19,0.016,
539,13,15,0.016,
540,22,17,0.016,
541,27,7,0.017,
542,14,3,0.017,
543,22,8,0.017,
544,21,2,0.017,
545,0,1,0.017,
546,30,12,0.017,
547,6,0,0.017,
548,12,15,0.018,
549,16,3,0.018,
550,4,16,0.018,
551,28,4,0.018,
552,14,18,0.018,
553,25,13,0.019,
554,16,1,0.019,
555,20,10,0.019,
556,24,18,0.020,
557,0,10,0.020,
558,9,0,0.020,
559,17,2,0.020,
560,3,18,0.020,
561,9,16,0.020,
562,1,14,0.020,
563,15,0,0.020,
564,29,10,0.021,
565,23,15,0.021,
566,11,18,0.021,
567,15,5,0.021,
568,17,8,0.022,
569,12,10,0.022,
570,3,19,0.022,
571,5,3,0.022,
572,15,4,0.022,
573,14,17,0.023,
574,5,18,0.023,
575,21,0,0.023,
576,4,2,0.024,
577,24,12,0.024,
578,3,7,0.024,
579,12,16,0.024,
580,4,18,0.025,
581,14,5,0.025,
582,7,10,0.026,
583,11,14,0.026,
584,13,5,0.026,
585,9,6,0.026,
586,17,10,0.026,
587,17,19,0.027,
588,15,6,0.027,
589,30,0,0.027,
590,12,8,0.027,
591,31,17,0.027,
592,5,7,0.027,
593,2,3,0.028,
594,12,2,0.028,
595,3,16,0.028,
596,9,11,0.029,
597,12,6,0.029,
598,0,13,0.030,
599,13,13,0.030,
600,15,10,0.030,
601,10,0,0.033,
602,30,13,0.033,
603,29,18,0.034,
604,6,12,0.034,
605,13,4,0.034,
606,13,11,0.034,
607,15,17,0.036,
608,5,0,0.036,
609,12,9,0.037,
610,12,1,0.038,
611,13,17,0.038,
612,3,1,0.039,
613,24,0,0.040,
614,10,12,0.041,
615,15,7,0.042,
616,14,13,0.043,
617,19,15,0.044,
618,7,15,0.046,
619,16,7,0.046,
620,7,0,0.048,
621,14,19,0.049,
622,12,3,0.049,
623,13,18,0.051,
624,16,15,0.051,
625,9,2,0.052,
626,14,0,0.053,
627,17,5,0.057,
628,11,6,0.057,
629,0,8,0.058,
630,5,6,0.059,
631,13,8,0.061,
632,8,12,0.063,
633,1,13,0.063,
634,1,8,0.065,
635,6,8,0.072,
636,9,1,0.080,
637,15,2,0.084,
638,16,17,0.086,
639,14,14,0.086,
640,17,18,0.087,
641,19,0,0.098,
642,27,15,0.099,
643,0,6,0.109,
644,11,16,0.112,
645,6,17,0.119,
646,30,1,0.137,
647,5,19,0.137,
648,14,9,0.142,
649,32,18,0.163,
650,0,7,0.164,
651,6,19,0.166,
652,7,16,0.169,
653,32,13,0.203,
654,8,19,0.233,
655,22,14,0.261,
656,26,16,0.361,
657,10,9,0.368,
658,6,3,0.463,
659,11,1,0.468,
660,7,13,0.505,
