protein,mode,alpha,head_label,layer,head,anchor_mass,top1_mass,top3_mass,entropy_norm
2B61A,v_only,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,v_only,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,v_only,0.5,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,0.5,L11H16,11,16,0.5406593978404999,0.13935859501361847,0.4109584093093872,0.6175765042023287
2B61A,v_only,0.5,L15H2,15,2,0.49398755095899105,0.20635126531124115,0.43184894323349,0.6977609934890261
2B61A,v_only,1.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,1.0,L11H16,11,16,0.5457327514886856,0.140512153506279,0.4142867624759674,0.6100796420114216
2B61A,v_only,1.0,L15H2,15,2,0.4934834688901901,0.20580162107944489,0.4309138059616089,0.6986173972817699
2B61A,v_only,2.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,2.0,L11H16,11,16,0.551824152469635,0.14203335344791412,0.4174215793609619,0.5980964519173648
2B61A,v_only,2.0,L15H2,15,2,0.49235889315605164,0.20475666224956512,0.4289015233516693,0.7004331114969626
2B61A,v_only,4.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,4.0,L11H16,11,16,0.5435411036014557,0.14080305397510529,0.41255611181259155,0.5899998674946515
2B61A,v_only,4.0,L15H2,15,2,0.48994460701942444,0.20317342877388,0.42477092146873474,0.7041567491705327
2B61A,v_only,8.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,8.0,L11H16,11,16,0.39371464401483536,0.11569088697433472,0.3369729816913605,0.6820625787701732
2B61A,v_only,8.0,L15H2,15,2,0.4868358727544546,0.20599976181983948,0.420600950717926,0.7091782806930369
2B61A,v_only,12.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,v_only,12.0,L11H16,11,16,0.08851633220911026,0.034162670373916626,0.09699361026287079,0.8854903767019414
2B61A,v_only,12.0,L15H2,15,2,0.4818501593545079,0.23309756815433502,0.4219084680080414,0.711353917392201
2B61A,ln_all,0.0,L10H9,10,9,0.8787364065647125,0.4776380956172943,0.8859806656837463,0.2656919918899693
2B61A,ln_all,0.0,L11H16,11,16,0.5344009250402451,0.1379837989807129,0.4066038131713867,0.6259207442661029
2B61A,ln_all,0.0,L15H2,15,2,0.49444036558270454,0.20690900087356567,0.4327196180820465,0.6969516136245287
2B61A,ln_all,0.5,L10H9,10,9,0.7182430028915405,0.4226756989955902,0.738915741443634,0.42271558569129286
2B61A,ln_all,0.5,L11H16,11,16,0.19823836162686348,0.18615639209747314,0.2946557402610779,0.7462787671905939
2B61A,ln_all,0.5,L15H2,15,2,0.3854648950509727,0.1654210239648819,0.35298728942871094,0.7612502610660451
2B61A,ln_all,1.0,L10H9,10,9,0.44809138774871826,0.2914237678050995,0.4968394339084625,0.6383631976783294
2B61A,ln_all,1.0,L11H16,11,16,0.05676878243684769,0.26369354128837585,0.3674578368663788,0.7113097906728039
2B61A,ln_all,1.0,L15H2,15,2,0.2544414682779461,0.11409477144479752,0.2764808237552643,0.8203489757786059
2B61A,ln_all,2.0,L10H9,10,9,0.04445015545934439,0.09461336582899094,0.22247600555419922,0.8544061115266318
2B61A,ln_all,2.0,L11H16,11,16,0.004057455458678305,0.2162950485944748,0.3113809823989868,0.7579891182128229
2B61A,ln_all,2.0,L15H2,15,2,0.04028022551210597,0.10509969294071198,0.164994478225708,0.8790706633318732
2B61A,ln_all,4.0,L10H9,10,9,0.00013964589743409306,0.10037706047296524,0.23523233830928802,0.8570778395256847
2B61A,ln_all,4.0,L11H16,11,16,9.987324006033305e-06,0.19605888426303864,0.3062019944190979,0.7689411805343008
2B61A,ln_all,4.0,L15H2,15,2,0.0006146433306639665,0.10938943922519684,0.16323815286159515,0.8819083679686586
2B61A,ln_all,8.0,L10H9,10,9,3.6631123689900846e-09,0.10078577697277069,0.23643074929714203,0.8561160776188248
2B61A,ln_all,8.0,L11H16,11,16,4.578678079042442e-09,0.19742092490196228,0.3095300495624542,0.7648096492840815
2B61A,ln_all,8.0,L15H2,15,2,2.1306223736416996e-06,0.10144712775945663,0.15093933045864105,0.8864854007950135
2B61A,ln_all,12.0,L10H9,10,9,1.4464174351519823e-12,0.1007310152053833,0.23671869933605194,0.8559199588659487
2B61A,ln_all,12.0,L11H16,11,16,9.809450460807057e-07,0.07216139882802963,0.16458573937416077,0.6870468923020747
2B61A,ln_all,12.0,L15H2,15,2,1.2658352727124011e-08,0.026036439463496208,0.06325214356184006,0.9508626071687899
1PVGA,k_only,0.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,k_only,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,k_only,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,k_only,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,k_only,0.5,L10H9,10,9,0.6755982041358948,0.6755982041358948,0.8045870661735535,0.29215681580332065
1PVGA,k_only,0.5,L11H16,11,16,0.6559538245201111,0.6559538245201111,0.7510178685188293,0.3333233004960105
1PVGA,k_only,0.5,L13H18,13,18,0.46251315250992775,0.21408087015151978,0.3795446455478668,0.7245176885408062
1PVGA,k_only,0.5,L14H9,14,9,0.46924611553549767,0.27919551730155945,0.4518135190010071,0.6795119660099778
1PVGA,k_only,1.0,L10H9,10,9,0.6105819344520569,0.6105819344520569,0.766106903553009,0.3360546920211483
1PVGA,k_only,1.0,L11H16,11,16,0.6071670651435852,0.6071670651435852,0.7255548238754272,0.36562690515960156
1PVGA,k_only,1.0,L13H18,13,18,0.40393227711319923,0.18822947144508362,0.3343573212623596,0.7628893666796653
1PVGA,k_only,1.0,L14H9,14,9,0.42374721355736256,0.2601235806941986,0.4084402918815613,0.7112765429296802
1PVGA,k_only,2.0,L10H9,10,9,0.46721288561820984,0.46721288561820984,0.680945634841919,0.4229807056954058
1PVGA,k_only,2.0,L11H16,11,16,0.4958135485649109,0.4958135485649109,0.6765176653862,0.4274443460872189
1PVGA,k_only,2.0,L13H18,13,18,0.2973501980304718,0.13921520113945007,0.24913504719734192,0.8264185752816167
1PVGA,k_only,2.0,L14H9,14,9,0.334322240203619,0.21701690554618835,0.32279255986213684,0.769950887508574
1PVGA,k_only,4.0,L10H9,10,9,0.20902226865291595,0.26391565799713135,0.5244168639183044,0.5454593859091977
1PVGA,k_only,4.0,L11H16,11,16,0.23978690803050995,0.2755008935928345,0.6011125445365906,0.5076476000443929
1PVGA,k_only,4.0,L13H18,13,18,0.14778598677366972,0.0700097307562828,0.15551477670669556,0.8982118902306919
1PVGA,k_only,4.0,L14H9,14,9,0.18404698558151722,0.13014128804206848,0.18929056823253632,0.855069518102541
1PVGA,k_only,8.0,L10H9,10,9,0.022703533992171288,0.31830132007598877,0.4447251558303833,0.5906532725493425
1PVGA,k_only,8.0,L11H16,11,16,0.015932269394397736,0.48580554127693176,0.6189896464347839,0.4651965503015766
1PVGA,k_only,8.0,L13H18,13,18,0.03319040371570736,0.0616561621427536,0.10752037912607193,0.9330114074700435
1PVGA,k_only,8.0,L14H9,14,9,0.03726266440935433,0.028536321595311165,0.07570765912532806,0.9137305006201212
1PVGA,k_only,12.0,L10H9,10,9,0.002263762289658189,0.3238593637943268,0.45324379205703735,0.5878776876492866
1PVGA,k_only,12.0,L11H16,11,16,0.0009628818370401859,0.5247778296470642,0.6521632075309753,0.43669814855355715
1PVGA,k_only,12.0,L13H18,13,18,0.00855921339825727,0.0629872977733612,0.10590182989835739,0.935019878620593
1PVGA,k_only,12.0,L14H9,14,9,0.007844901439966634,0.02473600022494793,0.07336157560348511,0.9177723051172706
1PVGA,v_only,0.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,v_only,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,v_only,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,v_only,0.5,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,0.5,L11H16,11,16,0.6992369890213013,0.6992369890213013,0.7787328362464905,0.299201278099036
1PVGA,v_only,0.5,L13H18,13,18,0.5136899091303349,0.23028773069381714,0.41416028141975403,0.6898809255892567
1PVGA,v_only,0.5,L14H9,14,9,0.5068984646350145,0.29159078001976013,0.4867551624774933,0.6533409451012749
1PVGA,v_only,1.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,1.0,L11H16,11,16,0.6969910860061646,0.6969910860061646,0.7803604602813721,0.2981339286890735
1PVGA,v_only,1.0,L13H18,13,18,0.5045030638575554,0.22084034979343414,0.40369826555252075,0.6969180223224858
1PVGA,v_only,1.0,L14H9,14,9,0.49915333092212677,0.2865033745765686,0.47853389382362366,0.6600790930938875
1PVGA,v_only,2.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,2.0,L11H16,11,16,0.6888954043388367,0.6888954043388367,0.7817314863204956,0.2986317202355479
1PVGA,v_only,2.0,L13H18,13,18,0.48577145114541054,0.2011927217245102,0.38213783502578735,0.7107686750746743
1PVGA,v_only,2.0,L14H9,14,9,0.48269549012184143,0.2743949592113495,0.46119529008865356,0.6742896453007988
1PVGA,v_only,4.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,4.0,L11H16,11,16,0.654571533203125,0.654571533203125,0.7826670408248901,0.31319943376986364
1PVGA,v_only,4.0,L13H18,13,18,0.45248815044760704,0.1642812192440033,0.3491523861885071,0.7331007319579704
1PVGA,v_only,4.0,L14H9,14,9,0.45217388682067394,0.24672405421733856,0.4292234182357788,0.7004009202714154
1PVGA,v_only,8.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,8.0,L11H16,11,16,0.431855171918869,0.431855171918869,0.6099594235420227,0.5058090023126733
1PVGA,v_only,8.0,L13H18,13,18,0.46573882177472115,0.16510546207427979,0.36280274391174316,0.7147286643275518
1PVGA,v_only,8.0,L14H9,14,9,0.456205103546381,0.23638030886650085,0.4319886565208435,0.69544277408591
1PVGA,v_only,12.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,v_only,12.0,L11H16,11,16,0.016571996733546257,0.04894435405731201,0.11907803267240524,0.8064126123177976
1PVGA,v_only,12.0,L13H18,13,18,0.5358082633465528,0.29650411009788513,0.45716986060142517,0.6546959895485756
1PVGA,v_only,12.0,L14H9,14,9,0.30377363599836826,0.12988103926181793,0.29200273752212524,0.7585239702960344
1PVGA,ln_all,0.0,L10H9,10,9,0.7335516810417175,0.7335516810417175,0.8389075994491577,0.2503907359904606
1PVGA,ln_all,0.0,L11H16,11,16,0.7004258036613464,0.7004258036613464,0.7765513062477112,0.30105638673848517
1PVGA,ln_all,0.0,L13H18,13,18,0.5225002504885197,0.2392539083957672,0.4241706430912018,0.6829956306345566
1PVGA,ln_all,0.0,L14H9,14,9,0.5140939131379128,0.29598385095596313,0.4944475591182709,0.6470331759605592
1PVGA,ln_all,0.5,L10H9,10,9,0.32667118310928345,0.32667118310928345,0.5967674255371094,0.49518528736769585
1PVGA,ln_all,0.5,L11H16,11,16,0.4030936062335968,0.4030936062335968,0.6573697924613953,0.45074444050264123
1PVGA,ln_all,0.5,L13H18,13,18,0.23014036193490028,0.09971779584884644,0.20397762954235077,0.8593176678744006
1PVGA,ln_all,0.5,L14H9,14,9,0.29413553327322006,0.191340833902359,0.2868463695049286,0.7884222396355557
1PVGA,ln_all,1.0,L10H9,10,9,0.07275509089231491,0.30488672852516174,0.4395081400871277,0.5849020551673528
1PVGA,ln_all,1.0,L11H16,11,16,0.09594503045082092,0.43320217728614807,0.6020959615707397,0.4775485164473445
1PVGA,ln_all,1.0,L13H18,13,18,0.08826259151101112,0.0629330426454544,0.13009430468082428,0.9168751850826894
1PVGA,ln_all,1.0,L14H9,14,9,0.1381189846433699,0.10017184168100357,0.1535959094762802,0.8597876400473206
1PVGA,ln_all,2.0,L10H9,10,9,0.0022876013536006212,0.32479918003082275,0.454189270734787,0.587039765927328
1PVGA,ln_all,2.0,L11H16,11,16,0.002485560951754451,0.5445351600646973,0.647999107837677,0.42653123538909854
1PVGA,ln_all,2.0,L13H18,13,18,0.013536480197217315,0.050881728529930115,0.09442449361085892,0.9407646887846578
1PVGA,ln_all,2.0,L14H9,14,9,0.017098719399655238,0.04093927517533302,0.11034286022186279,0.8817673547072926
1PVGA,ln_all,4.0,L10H9,10,9,5.6673034123377874e-06,0.325630247592926,0.4552651047706604,0.5856662117393554
1PVGA,ln_all,4.0,L11H16,11,16,4.573525075102225e-06,0.549892246723175,0.6497719287872314,0.4233001903909098
