protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,30,1,17,5,,free,0.25,0.5660436153411865,0.007750868797302246,0.03198579261922141,41.55702209472656,174.90655517578125,183.66355895996094,96.19733428955078,66.11669158935547
2B61A,30,1,17,18,,free,0.25,0.5657413005828857,0.008053183555603027,0.033233365945208364,41.378028869628906,174.8276824951172,183.49990844726562,96.1852035522461,66.11669158935547
2B61A,30,1,19,0,,free,0.25,0.5655690431594849,0.008225440979003906,0.03394422692945566,44.490840911865234,174.7725067138672,183.6102752685547,96.43733978271484,66.11669158935547
2B61A,30,1,19,15,,free,0.25,0.5637337565422058,0.010060727596282959,0.041517971069925726,45.26614761352539,174.8021697998047,183.67068481445312,96.34484100341797,66.11669158935547
2B61A,30,1,22,14,,free,0.25,0.5605815052986145,0.013212978839874268,0.05452648110899233,47.876243591308594,174.94203186035156,183.92001342773438,96.70352935791016,66.11669158935547
2B61A,30,1,26,16,,free,0.25,0.5593646764755249,0.014429807662963867,0.059548012940621585,52.31591033935547,174.56454467773438,183.9283447265625,96.90194702148438,66.11669158935547
2B61A,30,1,27,15,,free,0.25,0.5590547919273376,0.014739692211151123,0.06082682479428999,54.29502487182617,174.4700927734375,183.6151885986328,96.34756469726562,66.11669158935547
2B61A,32,13,10,9,,free,0.25,0.5705657601356506,0.0032287240028381348,0.013324092960446982,8.092617988586426,174.0366973876953,176.6639404296875,109.25415802001953,51.271724700927734
2B61A,32,13,11,1,,free,0.25,0.5710888504981995,0.0027056336402893066,0.01116543690586073,7.774941921234131,174.08206176757812,176.7757568359375,109.32286071777344,51.271724700927734
2B61A,32,13,11,6,,free,0.25,0.5721926093101501,0.001601874828338623,0.006610515208182035,8.095699310302734,174.0501251220703,176.7014923095703,109.16692352294922,51.271724700927734
2B61A,32,13,11,16,,free,0.25,0.5719529390335083,0.0018415451049804688,0.007599571269655521,9.322004318237305,174.1529541015625,176.6136474609375,109.15755462646484,51.271724700927734
2B61A,32,13,12,3,,free,0.25,0.570860743522644,0.0029337406158447266,0.012106774271505851,11.192249298095703,174.02191162109375,176.3800048828125,108.59375762939453,51.271724700927734
2B61A,32,13,13,8,,free,0.25,0.5613014101982117,0.0124930739402771,0.05155562333468823,17.412273406982422,174.4064178466797,176.36785888671875,108.69021606445312,51.271724700927734
