protein,context,alpha,layer,head,label,context_metric,delta_metric_from_context_baseline,clean_top3_mass,ablated_top3_mass,delta_top3_mass,clean_entropy_norm,ablated_entropy_norm,clean_cos_to_clean_l10h9,ablated_cos_to_clean_l10h9,delta_cos_to_clean_l10h9,clean_anchor_mass_to_clean_l10h9_top3,ablated_anchor_mass_to_clean_l10h9_top3,delta_anchor_mass_to_clean_l10h9_top3,keydist_jsd,is_known_anchor_head
2B61A,full,2.0,1,0,L1H0,1.0032891035079956,0.0032891035079956055,0.02192494459450245,0.02192494459450245,0.0,0.9645440073729781,0.9645440073729781,0.07182283699512482,0.07182283699512482,0.0,0.01043677981942892,0.01043677981942892,0.0,0.0,False
2B61A,full,2.0,1,1,L1H1,1.0032891035079956,0.0032891035079956055,0.008998019620776176,0.008998019620776176,0.0,0.9990435246260712,0.9990435246260712,0.08317862451076508,0.08317862451076508,0.0,0.007976308465003967,0.007976308465003967,0.0,0.0,False
2B61A,full,2.0,1,2,L1H2,1.0032891035079956,0.0032891035079956055,0.015061557292938232,0.015061557292938232,0.0,0.9902461499551546,0.9902461499551546,0.06743104010820389,0.06743104010820389,0.0,0.00679046893492341,0.00679046893492341,0.0,0.0,False
2B61A,full,2.0,1,3,L1H3,1.0032891035079956,0.0032891035079956055,0.010172126814723015,0.010172126814723015,0.0,0.9981446098650193,0.9981446098650193,0.07876859605312347,0.07876859605312347,0.0,0.007878895848989487,0.007878895848989487,0.0,0.0,False
2B61A,full,2.0,1,4,L1H4,1.0032891035079956,0.0032891035079956055,0.037024520337581635,0.037024520337581635,0.0,0.9562632273261147,0.9562632273261147,0.03927302360534668,0.03927302360534668,0.0,0.00471147894859314,0.00471147894859314,0.0,0.0,False
2B61A,full,2.0,1,5,L1H5,1.0032891035079956,0.0032891035079956055,0.03897489607334137,0.03897489607334137,0.0,0.9377350195792573,0.9377350195792573,0.0442844033241272,0.0442844033241272,0.0,0.004482747055590153,0.004482747055590153,0.0,0.0,False
2B61A,full,2.0,1,6,L1H6,1.0032891035079956,0.0032891035079956055,0.01320081576704979,0.01320081576704979,0.0,0.9919490401718888,0.9919490401718888,0.07678442448377609,0.07678442448377609,0.0,0.008509787730872631,0.008509787730872631,0.0,0.0,False
2B61A,full,2.0,1,7,L1H7,1.0032891035079956,0.0032891035079956055,0.008932177908718586,0.008932177908718586,0.0,0.9987750870830719,0.9987750870830719,0.08196109533309937,0.08196109533309937,0.0,0.008003657683730125,0.008003657683730125,0.0,0.0,False
2B61A,full,2.0,1,8,L1H8,1.0032891035079956,0.0032891035079956055,0.010170159861445427,0.010170159861445427,0.0,0.9981432726917042,0.9981432726917042,0.08103975653648376,0.08103975653648376,0.0,0.008010762743651867,0.008010762743651867,0.0,0.0,False
2B61A,full,2.0,1,9,L1H9,1.0032891035079956,0.0032891035079956055,0.043560925871133804,0.043560925871133804,0.0,0.926227417460925,0.926227417460925,0.03520815074443817,0.03520815074443817,0.0,0.0038722555618733168,0.0038722555618733168,0.0,0.0,False
2B61A,full,2.0,1,10,L1H10,1.0032891035079956,0.0032891035079956055,0.0105777308344841,0.0105777308344841,0.0,0.9981561987004165,0.9981561987004165,0.07526484876871109,0.07526484876871109,0.0,0.00752880796790123,0.00752880796790123,0.0,0.0,False
2B61A,full,2.0,1,11,L1H11,1.0032891035079956,0.0032891035079956055,0.020784001797437668,0.020784001797437668,0.0,0.9758059038946675,0.9758059038946675,0.048974040895700455,0.048974040895700455,0.0,0.005463305860757828,0.005463305860757828,0.0,0.0,False
2B61A,full,2.0,1,12,L1H12,1.0032891035079956,0.0032891035079956055,0.06409028172492981,0.06409028172492981,0.0,0.9697281168843722,0.9697281168843722,0.04807843640446663,0.04807843640446663,0.0,0.006767951883375645,0.006767951883375645,0.0,0.0,False
2B61A,full,2.0,1,13,L1H13,1.0032891035079956,0.0032891035079956055,0.06464291363954544,0.06464291363954544,0.0,0.8630217420578091,0.8630217420578091,0.024868812412023544,0.024868812412023544,0.0,0.003105789888650179,0.003105789888650179,0.0,0.0,False
2B61A,full,2.0,1,14,L1H14,1.0032891035079956,0.0032891035079956055,0.039250921458005905,0.039250921458005905,0.0,0.9142165924516902,0.9142165924516902,0.13491809368133545,0.13491809368133545,0.0,0.01588752493262291,0.01588752493262291,0.0,0.0,False
2B61A,full,2.0,1,15,L1H15,1.0032891035079956,0.0032891035079956055,0.013446563854813576,0.013446563854813576,0.0,0.9974980865671857,0.9974980865671857,0.07704030722379684,0.07704030722379684,0.0,0.007705719210207462,0.007705719210207462,0.0,0.0,False
2B61A,full,2.0,1,16,L1H16,1.0032891035079956,0.0032891035079956055,0.009795152582228184,0.009795152582228184,0.0,0.998682710693223,0.998682710693223,0.08040758222341537,0.08040758222341537,0.0,0.007907296530902386,0.007907296530902386,0.0,0.0,False
2B61A,full,2.0,1,17,L1H17,1.0032891035079956,0.0032891035079956055,0.023159431293606758,0.023159431293606758,0.0,0.943752299497046,0.943752299497046,0.09663848578929901,0.09663848578929901,0.0,0.013225464150309563,0.013225464150309563,0.0,0.0,False
