n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
15,568,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.19419929494348515,ALL,pfam_pair,PF00106|PF00756
10,568,0.7,0.7,0.7,0.7,0.13088341471546464,ALL,pfam_pair,PF00106|PF00041
14,568,0.5,0.5,0.5,0.5,0.12500444829951798,ALL,pfam_pair,PF00106|PF07686
7,568,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam_pair,PF00106|PF07679
9,662,0.6666666666666666,0.7777777777777778,0.7777777777777778,1.0,0.13954965297474922,ALL,pfam_pair,PF01370|PF00107
5,662,0.4,0.6,0.6,1.0,0.18540115338498747,ALL,pfam_pair,PF01370|PF08240
6,637,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.12073994436170002,ALL,pfam_pair,PF01370|PF01408
11,263,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.8181818181818182,0.23278153876993507,ALL,pfam_pair,PF01370|PF00561
10,263,0.3,0.6,0.4,0.7,0.25529202063814627,ALL,pfam_pair,PF01370|PF12697
9,784,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0951568655053889,ALL,pfam_pair,PF01370|PF07859
10,784,0.3,0.3,0.5,0.5,0.23599877508151967,ALL,pfam_pair,PF01370|PF00756
5,567,0.2,0.2,0.4,0.4,0.22398764449837977,ALL,pfam_pair,PF01370|PF00041
9,1103,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.13954965297474922,ALL,pfam_pair,PF01370|PF07686
2,567,0.5,0.5,1.0,1.0,0.09646622778355032,ALL,pfam_pair,PF01370|PF07679
10,662,0.8,0.8,1.0,1.0,0.06964168004467143,ALL,pfam_pair,PF00107|PF08240
11,662,0.5454545454545454,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.12754565391526676,ALL,pfam_pair,PF00107|PF01408
16,662,0.375,0.375,0.4375,0.4375,0.22296028202502,ALL,pfam_pair,PF00107|PF00561
15,662,0.4,0.4,0.4666666666666667,0.4666666666666667,0.233697131129417,ALL,pfam_pair,PF00107|PF12697
14,784,0.5,0.5,0.5,0.5,0.12500444829951798,ALL,pfam_pair,PF00107|PF07859
15,662,0.4,0.4,0.5333333333333333,0.5333333333333333,0.22083496742504566,ALL,pfam_pair,PF00107|PF00756
10,662,0.6,0.6,0.7,0.7,0.170836923437875,ALL,pfam_pair,PF00107|PF00041
14,662,0.42857142857142855,0.42857142857142855,0.5,0.5,0.15354266881548562,ALL,pfam_pair,PF00107|PF07686
7,662,0.8571428571428571,0.8571428571428571,1.0,1.0,0.05707644103193527,ALL,pfam_pair,PF00107|PF07679
7,637,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.13300604254680293,ALL,pfam_pair,PF08240|PF01408
12,263,0.25,0.6666666666666666,0.25,0.75,0.23722472311724294,ALL,pfam_pair,PF08240|PF00561
11,263,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.25694095743366174,ALL,pfam_pair,PF08240|PF12697
10,784,0.7,0.7,0.7,0.7,0.11159016915883807,ALL,pfam_pair,PF08240|PF07859
11,784,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.23940164329128652,ALL,pfam_pair,PF08240|PF00756
6,662,0.3333333333333333,0.3333333333333333,0.5,0.5,0.21720617214525031,ALL,pfam_pair,PF08240|PF00041
10,1103,0.6,0.6,0.7,0.7,0.15154367788124842,ALL,pfam_pair,PF08240|PF07686
3,662,0.6666666666666666,0.6666666666666666,1.0,1.0,0.08858453510056297,ALL,pfam_pair,PF08240|PF07679
13,637,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.21219558385916418,ALL,pfam_pair,PF01408|PF00561
12,637,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.227215447631177,ALL,pfam_pair,PF01408|PF12697
11,784,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0912242823494518,ALL,pfam_pair,PF01408|PF07859
12,637,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2111377430006781,ALL,pfam_pair,PF01408|PF00756
7,637,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.16056782191347196,ALL,pfam_pair,PF01408|PF00041
11,1103,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.12754565391526676,ALL,pfam_pair,PF01408|PF07686
4,637,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam_pair,PF01408|PF07679
17,263,0.35294117647058826,0.8235294117647058,0.4117647058823529,0.9411764705882353,0.21550040779617965,ALL,pfam_pair,PF00561|PF12697
16,784,0.4375,0.4375,0.9375,0.9375,0.19798933907356572,ALL,pfam_pair,PF00561|PF07859
17,265,0.23529411764705882,0.5294117647058824,0.4117647058823529,0.7058823529411765,0.25661268265108533,ALL,pfam_pair,PF00561|PF00756
12,263,0.25,0.6666666666666666,0.25,0.75,0.25330242774774187,ALL,pfam_pair,PF00561|PF00041
16,1103,0.375,0.375,0.4375,0.4375,0.22296028202502,ALL,pfam_pair,PF00561|PF07686
9,263,0.3333333333333333,0.8888888888888888,0.3333333333333333,1.0,0.18242353198978417,ALL,pfam_pair,PF00561|PF07679
15,784,0.5333333333333333,0.5333333333333333,1.0,1.0,0.17909579923845842,ALL,pfam_pair,PF12697|PF07859
16,784,0.25,0.25,0.8125,0.8125,0.23661424760030744,ALL,pfam_pair,PF12697|PF00756
11,263,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.2744802715760368,ALL,pfam_pair,PF12697|PF00041
15,1103,0.4,0.4,0.4666666666666667,0.4666666666666667,0.23369713112941698,ALL,pfam_pair,PF12697|PF07686
8,263,0.375,0.75,0.5,0.875,0.2079463687960603,ALL,pfam_pair,PF12697|PF07679
15,784,0.6666666666666666,0.6666666666666666,0.8,0.8,0.1375227558576222,ALL,pfam_pair,PF07859|PF00756
10,784,0.7,0.7,0.7,0.7,0.13088341471546464,ALL,pfam_pair,PF07859|PF00041
14,784,0.5,0.5,0.5,0.5,0.12500444829951798,ALL,pfam_pair,PF07859|PF07686
7,784,1.0,1.0,1.0,1.0,-1.391837208508464e-13,ALL,pfam_pair,PF07859|PF07679
11,784,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.25694095743366174,ALL,pfam_pair,PF00756|PF00041
15,1103,0.4,0.4,0.4666666666666667,0.4666666666666667,0.22083496742504566,ALL,pfam_pair,PF00756|PF07686
8,784,0.375,0.375,0.625,0.625,0.18382981185024236,ALL,pfam_pair,PF00756|PF07679
10,1103,0.6,0.7,0.7,0.9,0.170836923437875,ALL,pfam_pair,PF00041|PF07686
3,1105,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.15289535362297624,ALL,pfam_pair,PF00041|PF07679
7,1103,0.8571428571428571,0.8571428571428571,1.0,1.0,0.05707644103193527,ALL,pfam_pair,PF07686|PF07679
