n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
20,568,0.45,0.45,0.45,0.5,0.16159474997817133,ALL,pfam_pair,PF00106|PF07686
18,568,0.5,0.5,0.5,0.5555555555555556,0.21316055271525716,ALL,pfam_pair,PF00106|PF07679
20,662,0.4,0.55,0.5,0.95,0.17379447212024846,ALL,pfam_pair,PF01370|PF00107
20,567,0.35,0.35,0.5,0.5,0.18580560270352753,ALL,pfam_pair,PF01370|PF08240
20,637,0.4,0.4,0.5,0.5,0.17379447212024846,ALL,pfam_pair,PF01370|PF01408
20,567,0.35,0.35,0.6,0.6,0.22803315130352397,ALL,pfam_pair,PF01370|PF00561
20,567,0.35,0.35,0.55,0.55,0.2436853393734072,ALL,pfam_pair,PF01370|PF12697
20,784,0.45,0.45,0.5,0.5,0.16159474997817133,ALL,pfam_pair,PF01370|PF07859
19,567,0.3684210526315789,0.3684210526315789,0.5789473684210527,0.5789473684210527,0.23126185553535605,ALL,pfam_pair,PF01370|PF00756
16,567,0.4375,0.4375,0.625,0.625,0.22665721787767368,ALL,pfam_pair,PF01370|PF00041
20,567,0.35,0.35,0.5,0.5,0.18148103641227517,ALL,pfam_pair,PF01370|PF07686
18,567,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.5555555555555556,0.23525642653092807,ALL,pfam_pair,PF01370|PF07679
20,662,0.7,0.7,1.0,1.0,0.08501480862872485,ALL,pfam_pair,PF00107|PF08240
20,662,0.4,0.4,0.8,0.8,0.16610790782822174,ALL,pfam_pair,PF00107|PF01408
20,662,0.4,0.4,0.5,0.5,0.22034658701149726,ALL,pfam_pair,PF00107|PF00561
20,662,0.4,0.4,0.5,0.5,0.23599877508138048,ALL,pfam_pair,PF00107|PF12697
20,784,0.45,0.45,0.5,0.5,0.15390818568614462,ALL,pfam_pair,PF00107|PF07859
19,662,0.42105263157894735,0.42105263157894735,0.5789473684210527,0.5789473684210527,0.22317073522795947,ALL,pfam_pair,PF00107|PF00756
16,662,0.5,0.5,0.625,0.625,0.2170490125126403,ALL,pfam_pair,PF00107|PF00041
20,662,0.4,0.4,0.5,0.5,0.17379447212024846,ALL,pfam_pair,PF00107|PF07686
18,662,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.22671579953978732,ALL,pfam_pair,PF00107|PF07679
20,637,0.4,0.4,0.5,0.5,0.1781190384115008,ALL,pfam_pair,PF08240|PF01408
20,662,0.3,0.3,0.5,0.5,0.2323577175947763,ALL,pfam_pair,PF08240|PF00561
20,662,0.3,0.3,0.5,0.5,0.24800990566465955,ALL,pfam_pair,PF08240|PF12697
20,784,0.45,0.45,0.5,0.5,0.1659193162694237,ALL,pfam_pair,PF08240|PF07859
19,662,0.3157894736842105,0.3157894736842105,0.5789473684210527,0.5789473684210527,0.23581403057877953,ALL,pfam_pair,PF08240|PF00756
16,662,0.375,0.375,0.625,0.625,0.23206292574173915,ALL,pfam_pair,PF08240|PF00041
20,1103,0.35,0.35,0.5,0.5,0.18580560270352753,ALL,pfam_pair,PF08240|PF07686
18,662,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2400615001878752,ALL,pfam_pair,PF08240|PF07679
20,637,0.4,0.4,0.5,0.5,0.22034658701149726,ALL,pfam_pair,PF01408|PF00561
20,637,0.4,0.4,0.5,0.5,0.23599877508138048,ALL,pfam_pair,PF01408|PF12697
20,784,0.45,0.45,0.5,0.5,0.15390818568614462,ALL,pfam_pair,PF01408|PF07859
19,637,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.22317073522795947,ALL,pfam_pair,PF01408|PF00756
16,637,0.5,0.5,0.625,0.625,0.2170490125126403,ALL,pfam_pair,PF01408|PF00041
20,637,0.4,0.4,0.5,0.5,0.17379447212024846,ALL,pfam_pair,PF01408|PF07686
18,637,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.22671579953978732,ALL,pfam_pair,PF01408|PF07679
