protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,32,13,19,0,,0.25,0.5723360180854797,0.0014584660530090332,0.006018704990846742,9.107364654541016,174.0827178955078,176.68128967285156,109.41448211669922,51.271724700927734
2B61A,32,13,17,18,,0.25,0.5722389817237854,0.0015555024147033691,0.006419148479550755,8.875955581665039,174.1161346435547,176.70245361328125,109.38772583007812,51.271724700927734
2B61A,32,13,14,14,,0.25,0.5718636512756348,0.001930832862854004,0.007968038312701351,9.290210723876953,174.11097717285156,176.69740295410156,109.49816131591797,51.271724700927734
2B61A,32,13,16,17,,0.25,0.572553813457489,0.0012406706809997559,0.005119920895192895,9.298513412475586,174.0828094482422,176.65814208984375,109.4131851196289,51.271724700927734
2B61A,32,13,15,2,,0.25,0.572691798210144,0.0011026859283447266,0.004550494189818331,9.309203147888184,174.1009063720703,176.67994689941406,109.48255920410156,51.271724700927734
2B61A,32,13,13,8,,0.25,0.5723284482955933,0.0014660358428955078,0.006049943518528198,9.5205659866333,174.12059020996094,176.7243194580078,109.5267333984375,51.271724700927734
2B61A,32,13,11,6,,0.25,0.5721926093101501,0.001601874828338623,0.006610515208182035,8.095699310302734,174.0501251220703,176.7014923095703,109.16692352294922,51.271724700927734
2B61A,32,13,17,5,,0.25,0.5721978545188904,0.0015966296195983887,0.006588869614198034,9.264664649963379,174.13967895507812,176.7421112060547,109.53973388671875,51.271724700927734
2B61A,32,13,14,0,,0.25,0.5720929503440857,0.0017015337944030762,0.007021781493878048,8.825325012207031,174.07528686523438,176.72186279296875,109.3870620727539,51.271724700927734
2B61A,32,13,16,15,,0.25,0.5721402764320374,0.001654207706451416,0.006826479202704223,9.004006385803223,174.10479736328125,176.71368408203125,109.47282409667969,51.271724700927734
2B61A,32,13,13,18,,0.25,0.572542130947113,0.0012523531913757324,0.0051681315363390785,9.22711181640625,174.10000610351562,176.6712188720703,109.4994125366211,51.271724700927734
2B61A,32,13,12,3,,0.25,0.5723152756690979,0.0014792084693908691,0.006104303476147109,9.3034086227417,174.08641052246094,176.6909942626953,109.5099868774414,51.271724700927734
2B61A,32,13,14,19,,0.25,0.5725274682044983,0.0012670159339904785,0.005228640810430717,8.84846019744873,174.12168884277344,176.69297790527344,109.39402770996094,51.271724700927734
2B61A,32,13,16,7,,0.25,0.5724999308586121,0.001294553279876709,0.00534228017884672,9.60919189453125,174.1150360107422,176.70172119140625,109.56167602539062,51.271724700927734
2B61A,32,13,19,15,,0.25,0.5714064836502075,0.00238800048828125,0.009854648606534141,9.450041770935059,174.1063995361328,176.72500610351562,109.46456909179688,51.271724700927734
2B61A,32,13,14,13,,0.25,0.5724132657051086,0.001381218433380127,0.00569992442490055,9.245230674743652,174.10836791992188,176.7073516845703,109.45964050292969,51.271724700927734
2B61A,32,18,11,1,,0.25,0.5711714029312134,0.0026230812072753906,0.010824764773271626,8.979766845703125,170.03720092773438,210.6959686279297,205.36181640625,71.75942993164062
2B61A,32,18,22,14,,0.25,0.5714820027351379,0.00231248140335083,0.009543001247696312,9.537145614624023,170.09921264648438,210.79122924804688,205.5167236328125,71.75942993164062
2B61A,32,18,14,9,,0.25,0.57110995054245,0.0026845335960388184,0.011078362584606908,9.197427749633789,170.03158569335938,210.65415954589844,205.078857421875,71.75942993164062
2B61A,32,18,11,16,,0.25,0.5707701444625854,0.0030243396759033203,0.012480652713047682,11.394238471984863,170.0122528076172,210.7757568359375,205.639404296875,71.75942993164062
2B61A,32,18,19,0,,0.25,0.5716022253036499,0.002192258834838867,0.00904687439467666,9.454974174499512,170.06756591796875,210.71942138671875,205.2360076904297,71.75942993164062
2B61A,32,18,17,18,,0.25,0.5712973475456238,0.0024971365928649902,0.010305024544996702,9.451796531677246,170.073974609375,210.74566650390625,205.467041015625,71.75942993164062
2B61A,32,18,14,14,,0.25,0.5713450908660889,0.0024493932723999023,0.010108000445210513,9.631790161132812,170.10787963867188,210.75137329101562,205.44288635253906,71.75942993164062
2B61A,32,18,16,17,,0.25,0.5715436339378357,0.002250850200653076,0.009288665518384304,9.264321327209473,170.06698608398438,210.731201171875,205.2322235107422,71.75942993164062
2B61A,32,18,15,2,,0.25,0.5720407366752625,0.0017537474632263184,0.007237253543082418,9.553483009338379,170.09095764160156,210.75180053710938,205.4415740966797,71.75942993164062
2B61A,32,18,13,8,,0.25,0.5715397596359253,0.0022547245025634766,0.009304653741213396,9.265769004821777,170.06988525390625,210.70217895507812,205.34413146972656,71.75942993164062
2B61A,32,18,11,6,,0.25,0.5716424584388733,0.0021520256996154785,0.008880842849913018,9.37794017791748,169.8780059814453,210.61436462402344,204.8856201171875,71.75942993164062
2B61A,32,18,17,5,,0.25,0.5715038776397705,0.0022906064987182617,0.009452729281876673,9.452077865600586,170.07093811035156,210.75381469726562,205.35238647460938,71.75942993164062
2B61A,32,18,14,0,,0.25,0.5717215538024902,0.002072930335998535,0.008554437131540643,9.104866981506348,170.04647827148438,210.6947479248047,205.24855041503906,71.75942993164062
2B61A,32,18,16,15,,0.25,0.5713075399398804,0.0024869441986083984,0.010262963220323246,9.09865665435791,170.0843048095703,210.7504119873047,205.33306884765625,71.75942993164062
2B61A,32,18,13,18,,0.25,0.5715518593788147,0.0022426247596740723,0.009254721291454849,9.87019157409668,170.10401916503906,210.83343505859375,205.49893188476562,71.75942993164062
2B61A,32,18,12,3,,0.25,0.5714539289474487,0.002340555191040039,0.009658854370042498,9.241066932678223,170.1129150390625,210.7344970703125,205.26788330078125,71.75942993164062
2B61A,32,18,14,19,,0.25,0.5716696977615356,0.002124786376953125,0.008768433344791559,9.400836944580078,170.04930114746094,210.70111083984375,205.225830078125,71.75942993164062
2B61A,32,18,16,7,,0.25,0.5718095302581787,0.0019849538803100586,0.008191381486990813,9.412662506103516,170.0473175048828,210.7156982421875,205.2578125,71.75942993164062
2B61A,32,18,19,15,,0.25,0.5701014399528503,0.0036930441856384277,0.015240219973348863,9.669449806213379,170.11483764648438,210.7897186279297,205.3307342529297,71.75942993164062
2B61A,32,18,14,13,,0.25,0.571411669254303,0.002382814884185791,0.009833248985209049,9.529294967651367,170.09222412109375,210.76181030273438,205.3017578125,71.75942993164062
2B61A,30,1,11,1,,0.25,0.5722030401229858,0.0015914440155029297,0.006567469992872942,12.981327056884766,175.3387908935547,184.0616455078125,95.75794219970703,66.11669158935547
2B61A,30,1,22,14,,0.25,0.5732526779174805,0.0005418062210083008,0.0022358914694837096,13.019115447998047,175.38885498046875,183.97125244140625,95.68804168701172,66.11669158935547
2B61A,30,1,14,9,,0.25,0.5732492804527283,0.000545203685760498,0.002249911911041528,12.539974212646484,175.4191436767578,183.95318603515625,95.74193572998047,66.11669158935547
2B61A,30,1,11,16,,0.25,0.5729061365127563,0.0008883476257324219,0.003665976508381211,14.232759475708008,175.3834991455078,184.04336547851562,95.9991226196289,66.11669158935547
2B61A,30,1,19,0,,0.25,0.5733547210693359,0.00043976306915283203,0.0018147862774313321,12.106218338012695,175.3734893798828,183.93028259277344,95.76847839355469,66.11669158935547
2B61A,30,1,17,18,,0.25,0.5732107758522034,0.0005837082862854004,0.002408810248696806,13.371265411376953,175.3589324951172,183.93179321289062,95.7086410522461,66.11669158935547
2B61A,30,1,14,14,,0.25,0.573227047920227,0.0005674362182617188,0.0023416597128146223,12.692380905151367,175.3748321533203,183.96603393554688,95.66151428222656,66.11669158935547
2B61A,30,1,16,17,,0.25,0.5732137560844421,0.0005807280540466309,0.002396511615751351,12.307910919189453,175.36529541015625,183.957763671875,95.64543151855469,66.11669158935547
2B61A,30,1,15,2,,0.25,0.5738298892974854,-3.540515899658203e-05,-0.0001461077593920048,13.054141998291016,175.3399200439453,183.9524383544922,95.64036560058594,66.11669158935547
2B61A,30,1,13,8,,0.25,0.5733084082603455,0.00048607587814331055,0.002005907033403702,13.253490447998047,175.39913940429688,183.9105987548828,95.65129089355469,66.11669158935547
2B61A,30,1,11,6,,0.25,0.5738709568977356,-7.647275924682617e-05,-0.000315582921380374,12.508583068847656,175.26649475097656,183.94625854492188,95.71610260009766,66.11669158935547
2B61A,30,1,17,5,,0.25,0.5731508135795593,0.0006436705589294434,0.00265625874355936,12.904245376586914,175.38063049316406,183.97833251953125,95.70120239257812,66.11669158935547
